,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-02-25,SP,1,1,0,0,0,0,1
1,2020-02-26,SP,0,1,0,0,0,0,1
2,2020-02-27,SP,0,1,0,0,0,0,1
3,2020-02-28,SP,1,2,0,0,0,0,2
4,2020-02-29,SP,0,2,0,0,0,0,2
5,2020-03-01,SP,0,2,0,0,0,0,2
6,2020-03-02,SP,0,2,0,0,0,0,2
7,2020-03-03,SP,0,2,0,0,0,0,2
8,2020-03-04,SP,1,3,0,0,0,0,3
9,2020-03-05,SP,3,6,0,0,0,0,6
10,2020-03-06,SP,4,10,0,0,0,0,10
11,2020-03-07,SP,3,13,0,0,0,0,13
12,2020-03-08,SP,3,16,0,0,0,0,16
13,2020-03-09,SP,0,16,0,0,0,0,16
14,2020-03-10,SP,3,19,0,0,0,0,19
15,2020-03-11,SP,11,30,0,0,0,0,30
16,2020-03-12,SP,16,46,0,0,0,0,46
17,2020-03-13,SP,10,56,0,0,0,0,56
18,2020-03-14,SP,9,65,0,0,0,0,65
19,2020-03-15,SP,71,136,0,0,0,0,136
20,2020-03-16,SP,16,152,0,0,0,0,152
21,2020-03-17,SP,12,164,1,1,0,0,163
22,2020-03-18,SP,77,241,3,4,0,0,237
23,2020-03-19,SP,45,286,1,5,0,0,281
24,2020-03-20,SP,110,396,4,9,0,0,387
25,2020-03-21,SP,63,459,6,15,0,0,444
26,2020-03-22,SP,172,631,7,22,0,0,609
27,2020-03-23,SP,114,745,8,30,0,0,715
28,2020-03-24,SP,65,810,10,40,1,1,769
29,2020-03-25,SP,52,862,8,48,1,0,813
30,2020-03-26,SP,191,1053,10,58,1,0,994
31,2020-03-27,SP,170,1223,10,68,1,0,1154
32,2020-03-28,SP,183,1406,16,84,1,0,1321
33,2020-03-29,SP,45,1451,14,98,1,0,1352
34,2020-03-30,SP,66,1517,15,113,1,0,1403
35,2020-03-31,SP,822,2339,23,136,1,0,2202
36,2020-04-01,SP,642,2981,28,164,1,0,2816
37,2020-04-02,SP,525,3506,24,188,1,0,3317
38,2020-04-03,SP,542,4048,31,219,1,0,3828
39,2020-04-04,SP,418,4466,41,260,1,0,4205
40,2020-04-05,SP,154,4620,15,275,1,0,4344
