,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,Araraquara,0,1,0,0,0,0,0,0,0,0,1
1,2020-03-27,Araraquara,0,1,0,0,0,0,0,0,0,0,1
2,2020-03-28,Araraquara,1,2,0,0,0,0,0,0,0,0,2
3,2020-03-29,Araraquara,0,2,0,0,0,0,0,0,0,0,2
4,2020-03-30,Araraquara,0,2,0,0,0,0,0,0,0,0,2
5,2020-03-31,Araraquara,0,5,0,0,0,0,0,0,0,0,5
6,2020-04-01,Araraquara,2,7,1,1,0,0,0,0,0,0,6
7,2020-04-02,Araraquara,2,9,0,1,0,0,0,0,0,0,8
8,2020-04-03,Araraquara,0,9,0,1,0,0,0,0,0,0,8
9,2020-04-04,Araraquara,1,10,0,1,0,0,0,0,0,0,9
10,2020-04-05,Araraquara,0,10,0,1,0,0,0,0,0,0,9
11,2020-04-06,Araraquara,0,10,0,1,0,0,0,0,0,0,9
12,2020-04-07,Araraquara,0,10,0,1,0,0,0,0,0,0,9
13,2020-04-08,Araraquara,1,11,1,2,0,0,0,0,0,0,9
14,2020-04-09,Araraquara,8,19,1,3,0,0,0,0,17,17,-1
15,2020-04-10,Araraquara,1,20,0,3,0,0,0,0,17,0,0
16,2020-04-11,Araraquara,13,33,0,3,0,0,0,0,30,13,0
17,2020-04-12,Araraquara,1,34,0,3,0,0,0,0,31,1,0
18,2020-04-13,Araraquara,1,35,1,4,0,0,0,0,32,1,-1
19,2020-04-14,Araraquara,3,38,0,4,0,0,0,0,34,2,0
20,2020-04-15,Araraquara,6,44,0,4,0,0,0,0,40,6,0
21,2020-04-16,Araraquara,3,47,0,4,0,0,0,0,43,3,0
22,2020-04-17,Araraquara,5,52,0,4,0,0,0,0,48,5,0
