,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,Baixada Santista,0,13,0,0,0,0,0,0,0,0,13
1,2020-03-27,Baixada Santista,3,16,0,0,0,0,0,0,0,0,16
2,2020-03-28,Baixada Santista,5,21,0,0,0,0,0,0,0,0,21
3,2020-03-29,Baixada Santista,3,24,2,2,0,0,0,0,0,0,22
4,2020-03-30,Baixada Santista,11,35,0,2,0,0,0,0,0,0,33
5,2020-03-31,Baixada Santista,19,56,0,2,0,0,0,0,0,0,54
6,2020-04-01,Baixada Santista,19,78,1,3,0,0,0,0,0,0,75
7,2020-04-02,Baixada Santista,19,97,3,6,0,0,0,0,0,0,91
8,2020-04-03,Baixada Santista,21,120,1,7,0,0,0,0,0,0,113
9,2020-04-04,Baixada Santista,9,129,0,7,0,0,0,0,0,0,122
10,2020-04-05,Baixada Santista,0,129,0,7,0,0,0,0,0,0,122
11,2020-04-06,Baixada Santista,29,158,2,9,0,0,0,0,0,0,149
12,2020-04-07,Baixada Santista,17,175,5,14,0,0,0,0,0,0,161
13,2020-04-08,Baixada Santista,13,188,0,14,0,0,0,0,0,0,174
14,2020-04-09,Baixada Santista,25,213,2,16,0,0,0,0,199,199,-2
15,2020-04-10,Baixada Santista,27,240,4,20,0,0,0,0,224,25,-4
16,2020-04-11,Baixada Santista,11,251,3,23,0,0,0,0,231,7,-3
17,2020-04-12,Baixada Santista,9,260,0,23,0,0,0,0,237,6,0
18,2020-04-13,Baixada Santista,67,327,2,25,0,0,0,0,304,67,-2
19,2020-04-14,Baixada Santista,61,388,5,30,0,0,0,0,363,59,-5
20,2020-04-15,Baixada Santista,47,435,3,33,0,0,0,0,405,42,-3
21,2020-04-16,Baixada Santista,25,460,2,35,0,0,0,0,427,22,-2
22,2020-04-17,Baixada Santista,46,506,0,35,0,0,0,0,471,44,0
23,2020-04-18,Baixada Santista,70,576,3,38,0,0,0,0,541,70,-3
24,2020-04-19,Baixada Santista,29,605,2,40,0,0,0,0,567,26,-2
25,2020-04-20,Baixada Santista,72,677,4,44,0,0,0,0,637,70,-4
