,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-27,Barretos,0,0,0,0,0,0,0,0,0,0,0
1,2020-03-28,Barretos,0,0,0,0,0,0,0,0,0,0,0
2,2020-03-29,Barretos,0,0,0,0,0,0,0,0,0,0,0
3,2020-03-30,Barretos,0,0,0,0,0,0,0,0,0,0,0
4,2020-03-31,Barretos,0,0,0,0,0,0,0,0,0,0,0
5,2020-04-01,Barretos,0,0,0,0,0,0,0,0,0,0,0
6,2020-04-02,Barretos,0,0,0,0,0,0,0,0,0,0,0
7,2020-04-03,Barretos,0,0,0,0,0,0,0,0,0,0,0
8,2020-04-04,Barretos,0,0,0,0,0,0,0,0,0,0,0
9,2020-04-05,Barretos,0,0,0,0,0,0,0,0,0,0,0
10,2020-04-06,Barretos,0,3,0,0,0,0,0,0,0,0,3
11,2020-04-07,Barretos,3,6,0,0,0,0,0,0,0,0,6
12,2020-04-08,Barretos,4,10,0,0,0,0,0,0,0,0,10
13,2020-04-09,Barretos,1,11,0,0,0,0,0,0,0,0,11
14,2020-04-10,Barretos,0,11,0,0,0,0,0,0,11,11,0
15,2020-04-11,Barretos,0,11,0,0,0,0,0,0,11,0,0
16,2020-04-12,Barretos,0,11,0,0,0,0,0,0,11,0,0
17,2020-04-13,Barretos,8,19,0,0,0,0,0,0,19,8,0
18,2020-04-14,Barretos,0,19,0,0,0,0,0,0,19,0,0
19,2020-04-15,Barretos,7,26,1,1,0,0,0,0,26,7,-1
20,2020-04-16,Barretos,3,29,1,2,0,0,0,0,28,2,-1
21,2020-04-17,Barretos,6,35,0,2,0,0,0,0,33,5,0
22,2020-04-18,Barretos,3,38,0,2,0,0,0,0,36,3,0
23,2020-04-19,Barretos,0,38,0,2,0,0,0,0,36,0,0
24,2020-04-20,Barretos,0,38,0,2,0,0,0,0,36,0,0
25,2020-04-21,Barretos,0,38,0,2,0,0,0,0,36,0,0
26,2020-04-22,Barretos,9,47,0,2,0,0,0,0,45,9,0
27,2020-04-23,Barretos,0,47,0,2,0,0,0,0,45,0,0
28,2020-04-24,Barretos,10,57,0,2,0,0,0,0,55,10,0
29,2020-04-25,Barretos,3,60,0,2,0,0,0,0,58,3,0
30,2020-04-26,Barretos,0,60,0,2,0,0,0,0,58,0,0
31,2020-04-27,Barretos,3,63,0,2,0,0,0,0,61,3,0
32,2020-04-28,Barretos,0,63,0,2,0,0,0,0,61,0,0
33,2020-04-29,Barretos,12,75,1,3,0,0,0,0,73,12,-1
34,2020-04-30,Barretos,4,79,0,3,0,0,0,0,76,3,0
35,2020-05-01,Barretos,1,80,0,3,0,0,0,0,77,1,0
36,2020-05-02,Barretos,0,80,0,3,0,0,0,0,77,0,0
37,2020-05-03,Barretos,0,80,0,3,0,0,0,0,77,0,0
38,2020-05-04,Barretos,22,102,0,3,0,0,0,0,99,22,0
39,2020-05-05,Barretos,4,106,1,4,0,0,0,0,103,4,-1
40,2020-05-06,Barretos,0,106,0,4,0,0,0,0,102,-1,0
41,2020-05-07,Barretos,2,108,1,5,0,0,0,0,104,2,-1
42,2020-05-08,Barretos,6,114,0,5,0,0,0,0,109,5,0
43,2020-05-09,Barretos,0,114,0,5,0,0,0,0,109,0,0
44,2020-05-10,Barretos,0,114,0,5,0,0,0,0,109,0,0
45,2020-05-11,Barretos,3,117,0,5,0,0,0,0,112,3,0
46,2020-05-12,Barretos,5,122,0,5,0,0,0,0,117,5,0
47,2020-05-13,Barretos,6,128,0,5,0,0,0,0,123,6,0
48,2020-05-14,Barretos,0,128,0,5,0,0,0,0,123,0,0
49,2020-05-15,Barretos,0,128,0,5,0,0,0,0,123,0,0
50,2020-05-16,Barretos,13,141,1,6,0,0,0,0,136,13,-1
51,2020-05-17,Barretos,0,141,0,6,0,0,0,0,135,-1,0
52,2020-05-18,Barretos,20,161,1,7,0,0,0,0,155,20,-1
53,2020-05-19,Barretos,2,163,0,7,0,0,0,0,156,1,0
54,2020-05-20,Barretos,13,176,0,7,0,0,0,0,169,13,0
55,2020-05-21,Barretos,4,180,1,8,0,0,0,0,173,4,-1
56,2020-05-22,Barretos,3,183,0,8,0,0,0,0,175,2,0
57,2020-05-23,Barretos,0,183,0,8,0,0,0,0,175,0,0
58,2020-05-24,Barretos,0,183,0,8,0,0,0,0,175,0,0
59,2020-05-25,Barretos,0,183,0,8,0,0,0,0,175,0,0
60,2020-05-26,Barretos,14,197,2,10,0,0,0,0,189,14,-2
61,2020-05-27,Barretos,17,214,0,10,0,0,0,0,204,15,0
62,2020-05-28,Barretos,3,217,0,10,0,0,0,0,207,3,0
63,2020-05-29,Barretos,31,248,0,10,0,0,0,0,238,31,0
64,2020-05-30,Barretos,0,248,0,10,0,0,0,0,238,0,0
65,2020-05-31,Barretos,0,248,0,10,0,0,0,0,238,0,0
66,2020-06-01,Barretos,0,248,0,10,0,0,0,0,238,0,0
67,2020-06-02,Barretos,27,275,1,11,0,0,0,0,265,27,-1
68,2020-06-03,Barretos,8,283,2,13,0,0,0,0,272,7,-2
69,2020-06-04,Barretos,10,293,0,13,0,0,0,0,280,8,0
70,2020-06-05,Barretos,5,298,0,13,0,0,0,0,285,5,0
71,2020-06-06,Barretos,6,304,0,13,0,0,0,0,291,6,0
72,2020-06-07,Barretos,0,304,0,13,0,0,0,0,291,0,0
73,2020-06-08,Barretos,11,315,1,14,0,0,0,0,302,11,-1
74,2020-06-09,Barretos,46,361,0,14,0,0,0,0,347,45,0
75,2020-06-10,Barretos,24,385,1,15,0,0,0,0,371,24,-1
76,2020-06-11,Barretos,6,391,0,15,0,0,0,0,376,5,0
77,2020-06-12,Barretos,32,423,0,15,0,0,0,0,408,32,0
78,2020-06-13,Barretos,3,426,0,15,0,0,0,0,411,3,0
79,2020-06-14,Barretos,0,426,0,15,0,0,0,0,411,0,0
80,2020-06-15,Barretos,12,438,3,18,0,0,0,0,423,12,-3
81,2020-06-16,Barretos,44,482,0,18,0,0,0,0,464,41,0
82,2020-06-17,Barretos,67,549,1,19,0,0,0,0,531,67,-1
83,2020-06-18,Barretos,55,604,3,22,0,0,0,0,585,54,-3
84,2020-06-19,Barretos,61,665,0,22,0,0,0,0,643,58,0
85,2020-06-20,Barretos,36,701,1,23,0,0,0,0,679,36,-1
86,2020-06-21,Barretos,0,701,1,24,0,0,0,0,678,-1,-1
87,2020-06-22,Barretos,18,719,0,24,0,0,0,0,695,17,0
88,2020-06-23,Barretos,43,762,2,26,0,0,0,0,738,43,-2
89,2020-06-24,Barretos,68,830,0,26,0,0,0,0,804,66,0
90,2020-06-25,Barretos,55,885,2,28,0,0,0,0,859,55,-2
91,2020-06-26,Barretos,52,937,4,32,0,0,0,0,909,50,-4
92,2020-06-27,Barretos,39,976,4,36,0,0,0,0,944,35,-4
93,2020-06-28,Barretos,0,976,0,36,0,0,0,0,940,-4,0
94,2020-06-29,Barretos,41,1017,2,38,0,0,0,0,981,41,-2
95,2020-06-30,Barretos,47,1064,0,38,0,0,0,0,1026,45,0
96,2020-07-01,Barretos,50,1114,0,38,0,0,0,0,1076,50,0
97,2020-07-02,Barretos,57,1171,2,40,0,0,0,0,1133,57,-2
98,2020-07-03,Barretos,55,1226,2,42,0,0,0,0,1186,53,-2
99,2020-07-04,Barretos,0,1226,0,42,0,0,0,0,1184,-2,0
100,2020-07-05,Barretos,0,1226,0,42,0,0,0,0,1184,0,0
101,2020-07-06,Barretos,94,1320,2,44,0,0,0,0,1278,94,-2
102,2020-07-07,Barretos,76,1396,1,45,0,0,0,0,1352,74,-1
103,2020-07-08,Barretos,0,1396,0,45,0,0,0,0,1351,-1,0
104,2020-07-09,Barretos,117,1513,6,51,0,0,0,0,1468,117,-6
105,2020-07-10,Barretos,52,1565,2,53,0,0,0,0,1514,46,-2
106,2020-07-11,Barretos,24,1589,0,53,0,0,0,0,1536,22,0
107,2020-07-12,Barretos,0,1589,0,53,0,0,0,0,1536,0,0
108,2020-07-13,Barretos,16,1605,5,58,0,0,0,0,1552,16,-5
109,2020-07-14,Barretos,51,1656,1,59,0,0,0,0,1598,46,-1
110,2020-07-15,Barretos,43,1699,2,61,0,0,0,0,1640,42,-2
111,2020-07-16,Barretos,54,1753,2,63,0,0,0,0,1692,52,-2
112,2020-07-17,Barretos,0,1753,0,63,0,0,0,0,1690,-2,0
113,2020-07-18,Barretos,54,1807,1,64,0,0,0,0,1744,54,-1
114,2020-07-19,Barretos,0,1807,0,64,0,0,0,0,1743,-1,0
115,2020-07-20,Barretos,10,1817,0,64,0,0,0,0,1753,10,0
116,2020-07-21,Barretos,44,1861,1,65,0,0,0,0,1797,44,-1
117,2020-07-22,Barretos,29,1890,1,66,0,0,0,0,1825,28,-1
118,2020-07-23,Barretos,45,1935,0,66,0,0,0,0,1869,44,0
119,2020-07-24,Barretos,48,1983,1,67,0,0,0,0,1917,48,-1
120,2020-07-25,Barretos,0,1983,0,67,0,0,0,0,1916,-1,0
121,2020-07-26,Barretos,0,1983,0,67,0,0,0,0,1916,0,0
122,2020-07-27,Barretos,67,2050,5,72,0,0,0,0,1983,67,-5
123,2020-07-28,Barretos,59,2109,2,74,0,0,0,0,2037,54,-2
124,2020-07-29,Barretos,37,2146,2,76,0,0,0,0,2072,35,-2
125,2020-07-30,Barretos,30,2176,2,78,0,0,0,0,2100,28,-2
126,2020-07-31,Barretos,42,2218,0,78,0,0,0,0,2140,40,0
127,2020-08-01,Barretos,0,2218,0,78,0,0,0,0,2140,0,0
128,2020-08-02,Barretos,0,2218,0,78,0,0,0,0,2140,0,0
129,2020-08-03,Barretos,78,2296,3,81,0,0,0,0,2218,78,-3
130,2020-08-04,Barretos,71,2367,0,81,0,0,0,0,2286,68,0
131,2020-08-05,Barretos,45,2412,1,82,0,0,0,0,2331,45,-1
132,2020-08-06,Barretos,70,2482,0,82,0,0,0,0,2400,69,0
133,2020-08-07,Barretos,0,2482,0,82,0,0,0,0,2400,0,0
134,2020-08-08,Barretos,88,2570,1,83,0,0,0,0,2488,88,-1
135,2020-08-09,Barretos,0,2570,0,83,0,0,0,0,2487,-1,0
136,2020-08-10,Barretos,10,2580,0,83,0,0,0,0,2497,10,0
137,2020-08-11,Barretos,95,2675,1,84,0,0,0,0,2592,95,-1
138,2020-08-12,Barretos,0,2675,0,84,0,0,0,0,2591,-1,0
139,2020-08-13,Barretos,118,2793,2,86,0,0,0,0,2709,118,-2
140,2020-08-14,Barretos,90,2883,1,87,0,0,0,0,2797,88,-1
141,2020-08-15,Barretos,49,2932,0,87,0,0,0,0,2845,48,0
142,2020-08-16,Barretos,0,2932,0,87,0,0,0,0,2845,0,0
143,2020-08-17,Barretos,2,2934,1,88,0,0,0,0,2847,2,-1
144,2020-08-18,Barretos,106,3040,1,89,0,0,0,0,2952,105,-1
145,2020-08-19,Barretos,0,3040,0,89,0,0,0,0,2951,-1,0
146,2020-08-20,Barretos,94,3134,3,92,0,0,0,0,3045,94,-3
147,2020-08-21,Barretos,46,3180,2,94,0,0,0,0,3088,43,-2
148,2020-08-22,Barretos,46,3226,2,96,0,0,0,0,3132,44,-2
149,2020-08-23,Barretos,0,3226,0,96,0,0,0,0,3130,-2,0
150,2020-08-24,Barretos,0,3226,0,96,0,0,0,0,3130,0,0
151,2020-08-25,Barretos,0,3226,0,96,0,0,0,0,3130,0,0
152,2020-08-26,Barretos,60,3286,2,98,0,0,0,0,3190,60,-2
153,2020-08-27,Barretos,101,3387,0,98,0,0,0,0,3289,99,0
154,2020-08-28,Barretos,0,3387,0,98,0,0,0,0,3289,0,0
155,2020-08-29,Barretos,149,3536,0,98,0,0,0,0,3438,149,0
156,2020-08-30,Barretos,0,3536,0,98,0,0,0,0,3438,0,0
157,2020-08-31,Barretos,6,3542,3,101,0,0,0,0,3444,6,-3
158,2020-09-01,Barretos,84,3626,2,103,0,0,0,0,3525,81,-2
159,2020-09-02,Barretos,0,3626,0,103,0,0,0,0,3523,-2,0
160,2020-09-03,Barretos,169,3795,2,105,0,0,0,0,3692,169,-2
161,2020-09-04,Barretos,37,3832,0,105,0,0,0,0,3727,35,0
162,2020-09-05,Barretos,90,3922,2,107,0,0,0,0,3817,90,-2
163,2020-09-06,Barretos,0,3922,0,107,0,0,0,0,3815,-2,0
164,2020-09-07,Barretos,0,3922,0,107,0,0,0,0,3815,0,0
165,2020-09-08,Barretos,1,3923,4,111,0,0,0,0,3816,1,-4
166,2020-09-09,Barretos,108,4031,2,113,0,0,0,0,3920,104,-2
167,2020-09-10,Barretos,70,4101,0,113,0,0,0,0,3988,68,0
168,2020-09-11,Barretos,38,4139,1,114,0,0,0,0,4026,38,-1
169,2020-09-12,Barretos,52,4191,0,114,0,0,0,0,4077,51,0
170,2020-09-13,Barretos,0,4191,0,114,0,0,0,0,4077,0,0
171,2020-09-14,Barretos,0,4191,3,117,0,0,0,0,4077,0,-3
172,2020-09-15,Barretos,88,4279,1,118,0,0,0,0,4162,85,-1
173,2020-09-16,Barretos,72,4351,5,123,0,0,0,0,4233,71,-5
174,2020-09-17,Barretos,33,4384,2,125,0,0,0,0,4261,28,-2
175,2020-09-18,Barretos,82,4466,2,127,0,0,0,0,4341,80,-2
176,2020-09-19,Barretos,37,4503,1,128,0,0,0,0,4376,35,-1
177,2020-09-20,Barretos,0,4503,0,128,0,0,0,0,4375,-1,0
178,2020-09-21,Barretos,1,4504,3,131,0,0,0,0,4376,1,-3
179,2020-09-22,Barretos,63,4567,0,131,0,0,0,0,4436,60,0
180,2020-09-23,Barretos,0,4567,0,131,0,0,0,0,4436,0,0
181,2020-09-24,Barretos,138,4705,2,133,0,0,0,0,4574,138,-2
182,2020-09-25,Barretos,0,4705,0,133,0,0,0,0,4572,-2,0
183,2020-09-26,Barretos,91,4796,0,133,0,0,0,0,4663,91,0
184,2020-09-27,Barretos,0,4796,0,133,0,0,0,0,4663,0,0
185,2020-09-28,Barretos,8,4804,2,135,0,0,0,0,4671,8,-2
186,2020-09-29,Barretos,83,4887,1,136,0,0,0,0,4752,81,-1
187,2020-09-30,Barretos,90,4977,0,136,0,0,0,0,4841,89,0
188,2020-10-01,Barretos,32,5009,0,136,0,0,0,0,4873,32,0
189,2020-10-02,Barretos,48,5057,3,139,0,0,0,0,4921,48,-3
