,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,Bauru,0,1,0,0,0,0,0,0,0,0,1
1,2020-03-27,Bauru,0,1,0,0,0,0,0,0,0,0,1
2,2020-03-28,Bauru,0,1,0,0,0,0,0,0,0,0,1
3,2020-03-29,Bauru,0,1,0,0,0,0,0,0,0,0,1
4,2020-03-30,Bauru,0,4,0,0,0,0,0,0,0,0,4
5,2020-03-31,Bauru,0,4,0,0,0,0,0,0,0,0,4
6,2020-04-01,Bauru,1,5,0,0,0,0,0,0,0,0,5
7,2020-04-02,Bauru,2,8,0,0,0,0,0,0,0,0,8
8,2020-04-03,Bauru,6,14,0,0,0,0,0,0,0,0,14
9,2020-04-04,Bauru,3,17,0,0,0,0,0,0,0,0,17
10,2020-04-05,Bauru,0,17,0,0,0,0,0,0,0,0,17
11,2020-04-06,Bauru,4,21,1,1,0,0,0,0,0,0,20
12,2020-04-07,Bauru,7,28,1,2,0,0,0,0,0,0,26
13,2020-04-08,Bauru,2,30,0,2,0,0,0,0,0,0,28
14,2020-04-09,Bauru,13,43,0,2,0,0,0,0,1,1,40
15,2020-04-10,Bauru,7,50,0,2,0,0,0,0,1,0,47
16,2020-04-11,Bauru,2,52,0,2,0,0,0,0,1,0,49
17,2020-04-12,Bauru,7,59,1,3,0,0,0,0,1,0,55
18,2020-04-13,Bauru,6,65,0,3,0,0,0,0,4,3,58
19,2020-04-14,Bauru,7,72,3,6,0,0,0,0,4,0,62
20,2020-04-15,Bauru,5,77,2,8,0,0,0,0,5,1,64
21,2020-04-16,Bauru,8,85,1,9,0,0,0,0,8,3,68
22,2020-04-17,Bauru,10,95,0,9,0,0,0,0,14,6,72
23,2020-04-18,Bauru,13,108,1,10,0,0,0,0,17,3,81
24,2020-04-19,Bauru,3,111,1,11,0,0,0,0,17,0,83
25,2020-04-20,Bauru,6,117,0,11,0,0,0,0,20,3,86
26,2020-04-21,Bauru,0,117,0,11,0,0,0,0,26,6,80
27,2020-04-22,Bauru,1,118,0,11,0,0,0,0,28,2,79
28,2020-04-23,Bauru,17,135,1,12,0,0,0,0,41,13,82
29,2020-04-24,Bauru,7,142,0,12,0,0,0,0,48,7,82
30,2020-04-25,Bauru,16,158,1,13,0,0,0,0,50,2,95
31,2020-04-26,Bauru,1,159,0,13,0,0,0,0,56,6,90
32,2020-04-27,Bauru,5,164,0,13,0,0,0,0,62,6,89
33,2020-04-28,Bauru,5,169,2,15,0,0,0,0,66,4,88
34,2020-04-29,Bauru,15,184,0,15,0,0,0,0,69,3,100
35,2020-04-30,Bauru,30,214,0,15,0,0,0,0,76,7,123
36,2020-05-01,Bauru,13,227,0,15,0,0,0,0,86,10,126
37,2020-05-02,Bauru,0,227,0,15,0,0,0,0,98,12,114
38,2020-05-03,Bauru,0,227,0,15,0,0,0,0,100,2,112
39,2020-05-04,Bauru,16,243,0,15,0,0,0,0,106,6,122
40,2020-05-05,Bauru,21,264,0,15,0,0,0,0,106,0,143
41,2020-05-06,Bauru,36,300,1,16,0,0,0,0,107,1,177
42,2020-05-07,Bauru,16,316,3,19,0,0,0,0,123,16,174
43,2020-05-08,Bauru,23,339,0,19,0,0,0,0,130,7,190
44,2020-05-09,Bauru,8,347,0,19,0,0,0,0,145,15,183
45,2020-05-10,Bauru,0,347,0,19,0,0,0,0,146,1,182
46,2020-05-11,Bauru,49,396,0,19,0,0,0,0,151,5,226
47,2020-05-12,Bauru,44,440,3,22,0,0,0,0,154,3,264
48,2020-05-13,Bauru,30,470,0,22,0,0,0,0,169,15,279
49,2020-05-14,Bauru,19,489,0,22,0,0,0,0,199,30,268
50,2020-05-15,Bauru,51,540,2,24,0,0,0,0,212,13,304
51,2020-05-16,Bauru,16,556,4,28,0,0,0,0,212,0,316
52,2020-05-17,Bauru,0,556,1,29,0,0,0,0,212,0,315
53,2020-05-18,Bauru,34,590,0,29,0,0,0,0,228,16,333
54,2020-05-19,Bauru,55,645,3,32,0,0,0,0,249,21,364
55,2020-05-20,Bauru,38,683,2,34,0,0,0,0,284,35,365
56,2020-05-21,Bauru,21,704,1,35,0,0,0,0,297,13,372
57,2020-05-22,Bauru,47,751,1,36,0,0,0,0,320,23,395
58,2020-05-23,Bauru,15,766,1,37,0,0,0,0,328,8,401
59,2020-05-24,Bauru,5,771,1,38,0,0,0,0,328,0,405
60,2020-05-25,Bauru,12,783,1,39,0,0,0,0,377,49,367
61,2020-05-26,Bauru,66,849,1,40,0,0,0,0,418,41,391
62,2020-05-27,Bauru,41,890,2,42,0,0,0,0,448,30,400
63,2020-05-28,Bauru,37,927,1,43,0,0,0,0,467,19,417
64,2020-05-29,Bauru,70,997,1,44,0,0,0,0,516,49,437
65,2020-05-30,Bauru,12,1009,0,44,0,0,0,0,528,12,437
66,2020-05-31,Bauru,0,1009,0,44,0,0,0,0,527,-1,438
67,2020-06-01,Bauru,30,1039,0,44,0,0,0,0,561,34,434
68,2020-06-02,Bauru,22,1061,0,44,0,0,0,0,613,52,404
69,2020-06-03,Bauru,150,1211,3,47,0,0,0,0,649,36,515
70,2020-06-04,Bauru,48,1259,1,48,0,0,0,0,669,20,542
71,2020-06-05,Bauru,51,1310,1,49,0,0,0,0,715,46,546
72,2020-06-06,Bauru,35,1345,1,50,0,0,0,0,729,14,566
73,2020-06-07,Bauru,21,1366,3,53,0,0,0,0,733,4,580
74,2020-06-08,Bauru,35,1401,0,53,0,0,0,0,744,11,604
75,2020-06-09,Bauru,76,1477,0,53,0,0,0,0,809,65,615
76,2020-06-10,Bauru,128,1605,0,53,0,0,0,0,848,39,704
77,2020-06-11,Bauru,100,1705,3,56,0,0,0,0,884,36,765
78,2020-06-12,Bauru,23,1728,2,58,0,0,0,0,953,69,717
79,2020-06-13,Bauru,44,1772,0,58,0,0,0,0,965,12,749
80,2020-06-14,Bauru,0,1772,3,61,0,0,0,0,965,0,746
81,2020-06-15,Bauru,115,1887,0,61,0,0,0,0,995,30,831
82,2020-06-16,Bauru,62,1949,4,65,0,0,0,0,1017,22,867
83,2020-06-17,Bauru,105,2054,2,67,0,0,0,0,1164,147,823
84,2020-06-18,Bauru,165,2219,1,68,0,0,0,0,1211,47,940
85,2020-06-19,Bauru,179,2398,1,69,0,0,0,0,1261,50,1068
86,2020-06-20,Bauru,88,2486,3,72,0,0,0,0,1295,34,1119
87,2020-06-21,Bauru,8,2494,1,73,0,0,0,0,1313,18,1108
88,2020-06-22,Bauru,67,2561,1,74,0,0,0,0,1348,35,1139
89,2020-06-23,Bauru,177,2738,2,76,0,0,0,0,1424,76,1238
90,2020-06-24,Bauru,122,2860,3,79,0,0,0,0,1552,128,1229
91,2020-06-25,Bauru,157,3017,4,83,0,0,0,0,1649,97,1285
92,2020-06-26,Bauru,23,3040,0,83,0,0,0,0,1670,21,1287
93,2020-06-27,Bauru,180,3220,2,85,0,0,0,0,1714,44,1421
94,2020-06-28,Bauru,65,3285,1,86,0,0,0,0,1711,-3,1488
95,2020-06-29,Bauru,184,3469,1,87,0,0,0,0,1826,115,1556
96,2020-06-30,Bauru,133,3602,0,87,0,0,0,0,1884,58,1631
97,2020-07-01,Bauru,132,3734,1,88,0,0,0,0,1987,103,1659
98,2020-07-02,Bauru,219,3953,4,92,0,0,0,0,2151,164,1710
99,2020-07-03,Bauru,211,4164,3,95,0,0,0,0,2329,178,1740
100,2020-07-04,Bauru,67,4231,2,97,0,0,0,0,2414,85,1720
101,2020-07-05,Bauru,0,4231,1,98,0,0,0,0,2421,7,1712
102,2020-07-06,Bauru,176,4407,3,101,0,0,0,0,2487,66,1819
103,2020-07-07,Bauru,79,4486,3,104,0,0,0,0,2662,175,1720
104,2020-07-08,Bauru,111,4597,2,106,0,0,0,0,2781,119,1710
105,2020-07-09,Bauru,98,4695,5,111,0,0,0,0,2934,153,1650
106,2020-07-10,Bauru,113,4808,3,114,0,0,0,0,2957,23,1737
107,2020-07-11,Bauru,137,4945,4,118,0,0,0,0,3135,178,1692
108,2020-07-12,Bauru,31,4976,2,120,0,0,0,0,3199,64,1657
109,2020-07-13,Bauru,277,5253,4,124,0,0,0,0,3382,183,1747
110,2020-07-14,Bauru,135,5388,3,127,0,0,0,0,3515,133,1746
111,2020-07-15,Bauru,197,5585,1,128,0,0,0,0,3646,131,1811
112,2020-07-16,Bauru,176,5761,6,134,0,0,0,0,3861,215,1766
113,2020-07-17,Bauru,177,5938,3,137,0,0,0,0,4069,208,1732
114,2020-07-18,Bauru,81,6019,0,137,0,0,0,0,4134,65,1748
115,2020-07-19,Bauru,202,6221,3,140,0,0,0,0,4133,-1,1948
116,2020-07-20,Bauru,161,6382,2,142,0,0,0,0,4306,173,1934
117,2020-07-21,Bauru,100,6482,3,145,0,0,0,0,4382,76,1955
118,2020-07-22,Bauru,203,6685,2,147,0,0,0,0,4491,109,2047
119,2020-07-23,Bauru,188,6873,6,153,0,0,0,0,4584,93,2136
120,2020-07-24,Bauru,155,7028,3,156,0,0,0,0,4694,110,2178
121,2020-07-25,Bauru,193,7221,3,159,0,0,0,0,4827,133,2235
122,2020-07-26,Bauru,0,7221,0,159,0,0,0,0,4856,29,2206
123,2020-07-27,Bauru,185,7406,2,161,0,0,0,0,5129,273,2116
124,2020-07-28,Bauru,147,7553,4,165,0,0,0,0,5261,132,2127
125,2020-07-29,Bauru,167,7720,4,160,0,0,0,0,5457,196,2103
126,2020-07-30,Bauru,247,7967,12,172,0,0,0,0,5627,170,2168
127,2020-07-31,Bauru,255,8222,3,175,0,0,0,0,5801,174,2246
128,2020-08-01,Bauru,14,8236,2,177,0,0,0,0,5882,81,2177
129,2020-08-02,Bauru,7,8243,2,171,0,0,0,0,6081,199,1991
130,2020-08-03,Bauru,254,8497,13,184,0,0,0,0,6240,159,2073
131,2020-08-04,Bauru,226,8723,5,179,0,0,0,0,6337,97,2207
132,2020-08-05,Bauru,249,8972,17,196,0,0,0,0,6538,201,2238
133,2020-08-06,Bauru,261,9233,2,198,0,0,0,0,6720,182,2315
