,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,Campinas,0,31,0,0,0,0,0,0,0,0,31
1,2020-03-27,Campinas,1,32,0,0,0,0,0,0,0,0,32
2,2020-03-28,Campinas,1,33,0,0,0,0,0,0,0,0,33
3,2020-03-29,Campinas,1,34,0,0,0,0,0,0,0,0,34
4,2020-03-30,Campinas,19,54,1,1,0,0,0,0,0,0,53
5,2020-03-31,Campinas,9,65,0,1,0,0,0,0,0,0,64
6,2020-04-01,Campinas,8,73,1,2,0,0,0,0,0,0,71
7,2020-04-02,Campinas,17,90,2,4,0,0,0,0,0,0,86
8,2020-04-03,Campinas,17,108,2,6,0,0,0,0,0,0,102
9,2020-04-04,Campinas,19,127,2,8,0,0,0,0,0,0,119
10,2020-04-05,Campinas,0,127,0,8,0,0,0,0,0,0,119
11,2020-04-06,Campinas,16,143,2,10,0,0,0,0,0,0,133
12,2020-04-07,Campinas,18,161,1,11,0,0,0,0,0,0,150
13,2020-04-08,Campinas,18,179,1,12,0,0,0,0,0,0,167
14,2020-04-09,Campinas,22,201,1,13,0,0,0,0,31,31,157
15,2020-04-10,Campinas,1,202,0,13,0,0,0,0,32,1,157
16,2020-04-11,Campinas,14,216,0,13,0,0,0,0,33,1,170
17,2020-04-12,Campinas,9,225,0,13,0,0,0,0,34,1,178
18,2020-04-13,Campinas,25,250,2,15,0,0,0,0,53,19,182
19,2020-04-14,Campinas,24,276,2,17,0,0,0,0,64,11,195
20,2020-04-15,Campinas,21,297,1,18,0,0,0,0,71,7,208
21,2020-04-16,Campinas,28,330,5,23,0,0,0,0,86,15,221
22,2020-04-17,Campinas,38,368,3,26,0,0,0,0,102,16,240
23,2020-04-18,Campinas,30,398,2,28,0,0,0,0,119,17,251
24,2020-04-19,Campinas,12,410,1,29,0,0,0,0,119,0,262
25,2020-04-20,Campinas,32,442,4,33,0,0,0,0,133,14,276
26,2020-04-21,Campinas,11,453,3,36,0,0,0,0,150,17,267
27,2020-04-22,Campinas,41,494,7,43,0,0,0,0,167,17,284
28,2020-04-23,Campinas,50,544,3,46,0,0,0,0,188,21,310
29,2020-04-24,Campinas,45,589,5,51,0,0,0,0,189,1,349
30,2020-04-25,Campinas,51,640,2,53,0,0,0,0,203,14,384
31,2020-04-26,Campinas,20,660,2,55,0,0,0,0,212,9,393
32,2020-04-27,Campinas,69,729,3,58,0,0,0,0,235,23,436
33,2020-04-28,Campinas,85,814,2,60,0,0,0,0,259,24,495
34,2020-04-29,Campinas,55,867,5,65,0,0,0,0,279,20,523
35,2020-04-30,Campinas,62,929,5,70,0,0,0,0,307,28,552
36,2020-05-01,Campinas,17,946,0,70,0,0,0,0,342,35,534
37,2020-05-02,Campinas,8,954,1,71,0,0,0,0,370,28,513
38,2020-05-03,Campinas,14,968,1,72,0,0,0,0,381,11,515
39,2020-05-04,Campinas,117,1085,7,79,0,0,0,0,409,28,597
40,2020-05-05,Campinas,34,1119,7,86,0,0,0,0,417,8,616
41,2020-05-06,Campinas,51,1170,1,87,0,0,0,0,451,34,632
42,2020-05-07,Campinas,53,1223,1,88,0,0,0,0,498,47,637
43,2020-05-08,Campinas,95,1318,4,92,0,0,0,0,538,40,688
44,2020-05-09,Campinas,76,1394,1,93,0,0,0,0,587,49,714
45,2020-05-10,Campinas,10,1404,1,94,0,0,0,0,605,18,705
46,2020-05-11,Campinas,51,1455,7,101,0,0,0,0,671,66,683
47,2020-05-12,Campinas,114,1569,2,103,0,0,0,0,754,83,712
48,2020-05-13,Campinas,91,1660,3,106,0,0,0,0,802,48,752
49,2020-05-14,Campinas,108,1768,6,112,0,0,0,0,859,57,797
50,2020-05-15,Campinas,134,1902,4,116,0,0,0,0,876,17,910
51,2020-05-16,Campinas,127,2029,3,119,0,0,0,0,883,7,1027
52,2020-05-17,Campinas,26,2055,3,122,0,0,0,0,896,13,1037
53,2020-05-18,Campinas,100,2155,11,133,0,0,0,0,1006,110,1016
54,2020-05-19,Campinas,157,2312,6,139,0,0,0,0,1033,27,1140
55,2020-05-20,Campinas,183,2495,7,146,0,0,0,0,1083,50,1266
56,2020-05-21,Campinas,144,2639,6,152,0,0,0,0,1135,52,1352
