,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,Grande SP Leste,0,18,0,0,0,0,0,0,0,0,18
1,2020-03-27,Grande SP Leste,6,24,3,3,0,0,0,0,0,0,21
2,2020-03-28,Grande SP Leste,5,29,0,3,0,0,0,0,0,0,26
3,2020-03-29,Grande SP Leste,0,29,0,3,0,0,0,0,0,0,26
4,2020-03-30,Grande SP Leste,5,34,1,4,0,0,0,0,0,0,30
5,2020-03-31,Grande SP Leste,1,61,0,5,0,0,0,0,0,0,56
6,2020-04-01,Grande SP Leste,19,80,0,5,0,0,0,0,0,0,75
7,2020-04-02,Grande SP Leste,18,98,3,8,0,0,0,0,0,0,90
8,2020-04-03,Grande SP Leste,31,130,3,11,0,0,0,0,0,0,119
9,2020-04-04,Grande SP Leste,7,137,2,13,0,0,0,0,0,0,124
10,2020-04-05,Grande SP Leste,0,137,0,13,0,0,0,0,0,0,124
11,2020-04-06,Grande SP Leste,40,177,3,16,0,0,0,0,0,0,161
12,2020-04-07,Grande SP Leste,38,215,2,18,0,0,0,0,0,0,197
13,2020-04-08,Grande SP Leste,29,244,4,22,0,0,0,0,0,0,222
14,2020-04-09,Grande SP Leste,22,266,1,23,0,0,0,0,244,244,-1
15,2020-04-10,Grande SP Leste,7,273,3,26,0,0,0,0,250,6,-3
16,2020-04-11,Grande SP Leste,2,275,1,27,0,0,0,0,249,-1,-1
17,2020-04-12,Grande SP Leste,0,275,0,27,0,0,0,0,248,-1,0
18,2020-04-13,Grande SP Leste,54,329,6,33,0,0,0,0,302,54,-6
19,2020-04-14,Grande SP Leste,62,391,13,46,0,0,0,0,358,56,-13
20,2020-04-15,Grande SP Leste,117,508,5,51,0,0,0,0,462,104,-5
