,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,Grande SP Sudoeste,0,5,0,1,0,0,0,0,0,0,4
1,2020-03-27,Grande SP Sudoeste,0,5,0,1,0,0,0,0,0,0,4
2,2020-03-28,Grande SP Sudoeste,8,13,0,1,0,0,0,0,0,0,12
3,2020-03-29,Grande SP Sudoeste,1,14,0,1,0,0,0,0,0,0,13
4,2020-03-30,Grande SP Sudoeste,0,19,0,3,0,0,0,0,0,0,16
5,2020-03-31,Grande SP Sudoeste,9,28,0,3,0,0,0,0,0,0,25
6,2020-04-01,Grande SP Sudoeste,36,64,2,5,0,0,0,0,0,0,59
7,2020-04-02,Grande SP Sudoeste,18,82,2,7,0,0,0,0,0,0,75
8,2020-04-03,Grande SP Sudoeste,12,94,2,9,0,0,0,0,0,0,85
9,2020-04-04,Grande SP Sudoeste,7,101,1,10,0,0,0,0,0,0,91
10,2020-04-05,Grande SP Sudoeste,5,106,1,11,0,0,0,0,0,0,95
11,2020-04-06,Grande SP Sudoeste,6,112,0,11,0,0,0,0,0,0,101
12,2020-04-07,Grande SP Sudoeste,9,121,1,12,0,0,0,0,0,0,109
13,2020-04-08,Grande SP Sudoeste,20,141,3,15,0,0,0,0,0,0,126
14,2020-04-09,Grande SP Sudoeste,4,145,0,15,0,0,0,0,130,130,0
15,2020-04-10,Grande SP Sudoeste,18,163,3,18,0,0,0,0,148,18,-3
16,2020-04-11,Grande SP Sudoeste,6,169,1,19,0,0,0,0,151,3,-1
17,2020-04-12,Grande SP Sudoeste,2,171,0,19,0,0,0,0,152,1,0
18,2020-04-13,Grande SP Sudoeste,6,177,2,21,0,0,0,0,158,6,-2
19,2020-04-14,Grande SP Sudoeste,8,185,1,22,0,0,0,0,164,6,-1
20,2020-04-15,Grande SP Sudoeste,14,199,2,24,0,0,0,0,177,13,-2
