,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,Marília,0,0,0,0,0,0,0,0,0,0,0
1,2020-03-27,Marília,0,0,0,0,0,0,0,0,0,0,0
2,2020-03-28,Marília,0,0,0,0,0,0,0,0,0,0,0
3,2020-03-29,Marília,0,0,0,0,0,0,0,0,0,0,0
4,2020-03-30,Marília,0,0,0,0,0,0,0,0,0,0,0
5,2020-03-31,Marília,0,1,0,0,0,0,0,0,0,0,1
6,2020-04-01,Marília,0,1,0,0,0,0,0,0,0,0,1
7,2020-04-02,Marília,0,1,0,0,0,0,0,0,0,0,1
8,2020-04-03,Marília,1,3,1,1,0,0,0,0,0,0,2
9,2020-04-04,Marília,0,3,0,1,0,0,0,0,0,0,2
10,2020-04-05,Marília,0,3,0,1,0,0,0,0,0,0,2
11,2020-04-06,Marília,0,3,0,1,0,0,0,0,0,0,2
12,2020-04-07,Marília,2,5,0,1,0,0,0,0,0,0,4
13,2020-04-08,Marília,0,5,1,2,0,0,0,0,0,0,3
14,2020-04-09,Marília,3,8,0,2,0,0,0,0,6,6,0
15,2020-04-10,Marília,0,8,0,2,0,0,0,0,6,0,0
16,2020-04-11,Marília,1,9,0,2,0,0,0,0,7,1,0
17,2020-04-12,Marília,0,9,0,2,0,0,0,0,7,0,0
18,2020-04-13,Marília,1,10,0,2,0,0,0,0,8,1,0
19,2020-04-14,Marília,4,14,0,2,0,0,0,0,12,4,0
20,2020-04-15,Marília,0,14,0,2,0,0,0,0,12,0,0
21,2020-04-16,Marília,0,14,0,2,0,0,0,0,12,0,0
22,2020-04-17,Marília,4,18,0,2,0,0,0,0,16,4,0
23,2020-04-18,Marília,0,18,0,2,0,0,0,0,16,0,0
24,2020-04-19,Marília,0,18,0,2,0,0,0,0,16,0,0
25,2020-04-20,Marília,0,18,0,2,0,0,0,0,16,0,0
26,2020-04-21,Marília,0,18,0,2,0,0,0,0,16,0,0
