,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,Presidente Prudente,0,0,0,0,0,0,0,0,0,0,0
1,2020-03-27,Presidente Prudente,0,0,0,0,0,0,0,0,0,0,0
2,2020-03-28,Presidente Prudente,0,0,0,0,0,0,0,0,0,0,0
3,2020-03-29,Presidente Prudente,0,0,0,0,0,0,0,0,0,0,0
4,2020-03-30,Presidente Prudente,0,0,0,0,0,0,0,0,0,0,0
5,2020-03-31,Presidente Prudente,0,1,0,0,0,0,0,0,0,0,1
6,2020-04-01,Presidente Prudente,0,1,0,0,0,0,0,0,0,0,1
7,2020-04-02,Presidente Prudente,0,1,0,0,0,0,0,0,0,0,1
8,2020-04-03,Presidente Prudente,0,1,0,0,0,0,0,0,0,0,1
9,2020-04-04,Presidente Prudente,0,2,0,0,0,0,0,0,0,0,2
10,2020-04-05,Presidente Prudente,0,2,0,0,0,0,0,0,0,0,2
11,2020-04-06,Presidente Prudente,0,4,0,0,0,0,0,0,0,0,4
12,2020-04-07,Presidente Prudente,0,4,2,2,0,0,0,0,0,0,2
13,2020-04-08,Presidente Prudente,5,9,3,5,0,0,0,0,0,0,4
14,2020-04-09,Presidente Prudente,1,10,0,5,0,0,0,0,5,5,0
15,2020-04-10,Presidente Prudente,0,10,0,5,0,0,0,0,5,0,0
16,2020-04-11,Presidente Prudente,0,10,0,5,0,0,0,0,5,0,0
17,2020-04-12,Presidente Prudente,0,10,0,5,0,0,0,0,5,0,0
18,2020-04-13,Presidente Prudente,1,11,0,5,0,0,0,0,6,1,0
19,2020-04-14,Presidente Prudente,0,11,0,5,0,0,0,0,6,0,0
20,2020-04-15,Presidente Prudente,0,11,0,5,0,0,0,0,6,0,0
21,2020-04-16,Presidente Prudente,4,15,0,5,0,0,0,0,10,4,0
22,2020-04-17,Presidente Prudente,2,17,0,5,0,0,0,0,12,2,0
23,2020-04-18,Presidente Prudente,0,20,0,5,0,0,0,0,15,3,0
24,2020-04-19,Presidente Prudente,1,21,0,5,0,0,0,0,16,1,0
25,2020-04-20,Presidente Prudente,1,22,0,5,0,0,0,0,17,1,0
26,2020-04-21,Presidente Prudente,0,22,2,7,0,0,0,0,17,0,-2
27,2020-04-22,Presidente Prudente,6,28,1,8,0,0,0,0,21,4,-1
28,2020-04-23,Presidente Prudente,3,31,0,8,0,0,0,0,23,2,0
29,2020-04-24,Presidente Prudente,6,37,2,10,0,0,0,0,29,6,-2
30,2020-04-25,Presidente Prudente,0,37,0,10,0,0,0,0,27,-2,0
31,2020-04-26,Presidente Prudente,2,39,1,11,0,0,0,0,29,2,-1
32,2020-04-27,Presidente Prudente,4,44,0,11,0,0,0,0,33,4,0
33,2020-04-28,Presidente Prudente,3,47,1,12,0,0,0,0,36,3,-1
34,2020-04-29,Presidente Prudente,5,52,0,12,0,0,0,0,40,4,0
35,2020-04-30,Presidente Prudente,5,57,0,12,0,0,0,0,45,5,0
36,2020-05-01,Presidente Prudente,4,61,0,12,0,0,0,0,49,4,0
37,2020-05-02,Presidente Prudente,1,62,0,12,0,0,0,0,50,1,0
38,2020-05-03,Presidente Prudente,1,63,1,13,0,0,0,0,51,1,-1
39,2020-05-04,Presidente Prudente,3,66,0,13,0,0,0,0,53,2,0
40,2020-05-05,Presidente Prudente,7,73,0,13,0,0,0,0,60,7,0
41,2020-05-06,Presidente Prudente,4,77,0,13,0,0,0,0,64,4,0
42,2020-05-07,Presidente Prudente,12,89,1,14,0,0,0,0,76,12,-1
43,2020-05-08,Presidente Prudente,9,98,1,15,0,0,0,0,84,8,-1
44,2020-05-09,Presidente Prudente,3,101,2,17,0,0,0,0,86,2,-2
45,2020-05-10,Presidente Prudente,0,101,0,17,0,0,0,0,84,-2,0
46,2020-05-11,Presidente Prudente,3,104,0,17,0,0,0,0,87,3,0
47,2020-05-12,Presidente Prudente,7,111,0,17,0,0,0,0,94,7,0
48,2020-05-13,Presidente Prudente,7,118,0,17,0,0,0,0,101,7,0
49,2020-05-14,Presidente Prudente,6,124,1,18,0,0,0,0,107,6,-1
50,2020-05-15,Presidente Prudente,6,130,0,18,0,0,0,0,112,5,0
51,2020-05-16,Presidente Prudente,24,154,0,18,0,0,0,0,136,24,0
52,2020-05-17,Presidente Prudente,0,154,0,18,0,0,0,0,136,0,0
53,2020-05-18,Presidente Prudente,9,167,2,20,0,0,0,0,149,13,-2
54,2020-05-19,Presidente Prudente,6,173,0,20,0,0,0,0,153,4,0
55,2020-05-20,Presidente Prudente,3,176,0,20,0,0,0,0,156,3,0
56,2020-05-21,Presidente Prudente,3,179,0,20,0,0,0,0,159,3,0
57,2020-05-22,Presidente Prudente,11,190,1,21,0,0,0,0,170,11,-1
58,2020-05-23,Presidente Prudente,0,190,1,22,0,0,0,0,169,-1,-1
59,2020-05-24,Presidente Prudente,1,191,0,22,0,0,0,0,169,0,0
60,2020-05-25,Presidente Prudente,1,192,0,22,0,0,0,0,170,1,0
61,2020-05-26,Presidente Prudente,11,203,0,22,0,0,0,0,181,11,0
62,2020-05-27,Presidente Prudente,8,211,0,22,0,0,0,0,189,8,0
63,2020-05-28,Presidente Prudente,6,217,0,22,0,0,0,0,195,6,0
64,2020-05-29,Presidente Prudente,8,225,0,22,0,0,0,0,203,8,0
65,2020-05-30,Presidente Prudente,6,231,0,22,0,0,0,0,209,6,0
66,2020-05-31,Presidente Prudente,4,235,0,22,0,0,0,0,213,4,0
