,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,Sorocaba,0,3,0,0,0,0,0,0,0,0,3
1,2020-03-27,Sorocaba,2,5,0,0,0,0,0,0,0,0,5
2,2020-03-28,Sorocaba,0,5,1,1,0,0,0,0,0,0,4
3,2020-03-29,Sorocaba,3,9,0,1,0,0,0,0,0,0,8
4,2020-03-30,Sorocaba,1,10,0,1,0,0,0,0,0,0,9
5,2020-03-31,Sorocaba,8,19,0,1,0,0,0,0,0,0,18
6,2020-04-01,Sorocaba,4,23,1,2,0,0,0,0,0,0,21
7,2020-04-02,Sorocaba,1,24,0,2,0,0,0,0,0,0,22
8,2020-04-03,Sorocaba,6,30,1,3,0,0,0,0,0,0,27
9,2020-04-04,Sorocaba,2,32,0,3,0,0,0,0,0,0,29
10,2020-04-05,Sorocaba,1,33,0,3,0,0,0,0,0,0,30
11,2020-04-06,Sorocaba,4,37,0,3,0,0,0,0,0,0,34
12,2020-04-07,Sorocaba,2,39,0,3,0,0,0,0,0,0,36
13,2020-04-08,Sorocaba,6,46,0,3,0,0,0,0,0,0,43
14,2020-04-09,Sorocaba,4,50,0,3,0,0,0,0,47,47,0
15,2020-04-10,Sorocaba,0,50,0,3,0,0,0,0,47,0,0
16,2020-04-11,Sorocaba,4,54,0,3,0,0,0,0,51,4,0
17,2020-04-12,Sorocaba,1,55,0,3,0,0,0,0,52,1,0
18,2020-04-13,Sorocaba,6,61,1,4,0,0,0,0,58,6,-1
19,2020-04-14,Sorocaba,1,62,0,4,0,0,0,0,58,0,0
20,2020-04-15,Sorocaba,15,77,3,7,0,0,0,0,73,15,-3
21,2020-04-16,Sorocaba,10,87,1,8,0,0,0,0,80,7,-1
22,2020-04-17,Sorocaba,4,91,3,11,0,0,0,0,83,3,-3
23,2020-04-18,Sorocaba,0,91,1,12,0,0,0,0,80,-3,-1
24,2020-04-19,Sorocaba,5,96,1,13,0,0,0,0,84,4,-1
25,2020-04-20,Sorocaba,10,106,2,15,0,0,0,0,93,9,-2
26,2020-04-21,Sorocaba,0,106,0,15,0,0,0,0,91,-2,0
27,2020-04-22,Sorocaba,7,113,0,15,0,0,0,0,98,7,0
28,2020-04-23,Sorocaba,3,116,1,16,0,0,0,0,101,3,-1
29,2020-04-24,Sorocaba,23,139,6,22,0,0,0,0,123,22,-6
30,2020-04-25,Sorocaba,6,145,0,22,0,0,0,0,123,0,0
31,2020-04-26,Sorocaba,6,151,0,22,0,0,0,0,129,6,0
32,2020-04-27,Sorocaba,18,169,3,25,0,0,0,0,147,18,-3
33,2020-04-28,Sorocaba,26,195,1,26,0,0,0,0,170,23,-1
34,2020-04-29,Sorocaba,10,205,0,26,0,0,0,0,179,9,0
35,2020-04-30,Sorocaba,16,221,0,26,0,0,0,0,195,16,0
36,2020-05-01,Sorocaba,7,228,0,26,0,0,0,0,202,7,0
37,2020-05-02,Sorocaba,6,234,3,29,0,0,0,0,208,6,-3
38,2020-05-03,Sorocaba,2,236,0,29,0,0,0,0,207,-1,0
39,2020-05-04,Sorocaba,9,245,1,30,0,0,0,0,216,9,-1
40,2020-05-05,Sorocaba,8,253,0,30,0,0,0,0,223,7,0
41,2020-05-06,Sorocaba,36,289,1,31,0,0,0,0,259,36,-1
42,2020-05-07,Sorocaba,29,318,2,33,0,0,0,0,287,28,-2
43,2020-05-08,Sorocaba,59,377,2,35,0,0,0,0,344,57,-2
44,2020-05-09,Sorocaba,2,379,2,37,0,0,0,0,344,0,-2
45,2020-05-10,Sorocaba,18,397,2,39,0,0,0,0,360,16,-2
46,2020-05-11,Sorocaba,16,413,1,40,0,0,0,0,374,14,-1
47,2020-05-12,Sorocaba,51,464,1,41,0,0,0,0,424,50,-1
48,2020-05-13,Sorocaba,39,503,2,43,0,0,0,0,462,38,-2
49,2020-05-14,Sorocaba,49,552,3,46,0,0,0,0,509,47,-3
50,2020-05-15,Sorocaba,46,598,1,47,0,0,0,0,552,43,-1
51,2020-05-16,Sorocaba,19,617,1,48,0,0,0,0,570,18,-1
52,2020-05-17,Sorocaba,28,645,0,48,0,0,0,0,597,27,0
53,2020-05-18,Sorocaba,23,668,2,50,0,0,0,0,620,23,-2
54,2020-05-19,Sorocaba,78,746,4,54,0,0,0,0,696,76,-4
55,2020-05-20,Sorocaba,95,841,3,57,0,0,0,0,787,91,-3
56,2020-05-21,Sorocaba,51,892,2,59,0,0,0,0,835,48,-2
57,2020-05-22,Sorocaba,49,941,6,65,0,0,0,0,882,47,-6
58,2020-05-23,Sorocaba,49,990,4,69,0,0,0,0,925,43,-4
59,2020-05-24,Sorocaba,22,1012,0,69,0,0,0,0,943,18,0
60,2020-05-25,Sorocaba,24,1036,0,69,0,0,0,0,967,24,0
61,2020-05-26,Sorocaba,20,1056,3,72,0,0,0,0,987,20,-3
62,2020-05-27,Sorocaba,185,1241,1,73,0,0,0,0,1169,182,-1
63,2020-05-28,Sorocaba,28,1269,3,76,0,0,0,0,1196,27,-3
64,2020-05-29,Sorocaba,148,1417,5,81,0,0,0,0,1341,145,-5
65,2020-05-30,Sorocaba,40,1457,1,82,0,0,0,0,1376,35,-1
66,2020-05-31,Sorocaba,32,1489,1,83,0,0,0,0,1407,31,-1
67,2020-06-01,Sorocaba,15,1504,6,89,0,0,0,0,1421,14,-6
68,2020-06-02,Sorocaba,115,1619,4,93,0,0,0,0,1530,109,-4
69,2020-06-03,Sorocaba,57,1676,4,97,0,0,0,0,1583,53,-4
70,2020-06-04,Sorocaba,160,1836,3,100,0,0,0,0,1739,156,-3
71,2020-06-05,Sorocaba,61,1897,5,105,0,0,0,0,1797,58,-5
72,2020-06-06,Sorocaba,77,1974,1,106,0,0,0,0,1869,72,-1
73,2020-06-07,Sorocaba,11,1985,0,106,0,0,0,0,1879,10,0
74,2020-06-08,Sorocaba,48,2033,9,115,0,0,0,0,1927,48,-9
75,2020-06-09,Sorocaba,142,2175,6,121,0,0,0,0,2060,133,-6
76,2020-06-10,Sorocaba,112,2287,4,125,0,0,0,0,2166,106,-4
77,2020-06-11,Sorocaba,170,2457,3,128,0,0,0,0,2332,166,-3
78,2020-06-12,Sorocaba,71,2528,0,128,0,0,0,0,2400,68,0
79,2020-06-13,Sorocaba,69,2597,2,130,0,0,0,0,2469,69,-2
80,2020-06-14,Sorocaba,68,2665,0,130,0,0,0,0,2535,66,0
81,2020-06-15,Sorocaba,61,2726,7,137,0,0,0,0,2596,61,-7
82,2020-06-16,Sorocaba,149,2875,6,143,0,0,0,0,2738,142,-6
83,2020-06-17,Sorocaba,275,3150,4,147,0,0,0,0,3007,269,-4
84,2020-06-18,Sorocaba,680,3830,5,152,0,0,0,0,3683,676,-5
85,2020-06-19,Sorocaba,395,4225,5,157,0,0,0,0,4073,390,-5
86,2020-06-20,Sorocaba,121,4346,3,160,0,0,0,0,4189,116,-3
87,2020-06-21,Sorocaba,47,4393,1,161,0,0,0,0,4233,44,-1
88,2020-06-22,Sorocaba,174,4567,8,169,0,0,0,0,4406,173,-8
89,2020-06-23,Sorocaba,267,4834,2,171,0,0,0,0,4665,259,-2
90,2020-06-24,Sorocaba,236,5070,9,180,0,0,0,0,4899,234,-9
91,2020-06-25,Sorocaba,191,5261,6,186,0,0,0,0,5081,182,-6
92,2020-06-26,Sorocaba,166,5427,6,192,0,0,0,0,5241,160,-6
93,2020-06-27,Sorocaba,131,5558,3,195,0,0,0,0,5366,125,-3
94,2020-06-28,Sorocaba,22,5580,2,197,0,0,0,0,5385,19,-2
95,2020-06-29,Sorocaba,902,6482,7,204,0,0,0,0,6285,900,-7
96,2020-06-30,Sorocaba,532,7014,5,209,0,0,0,0,6810,525,-5
97,2020-07-01,Sorocaba,348,7362,8,217,0,0,0,0,7153,343,-8
98,2020-07-02,Sorocaba,309,7671,9,226,0,0,0,0,7454,301,-9
99,2020-07-03,Sorocaba,239,7910,3,229,0,0,0,0,7684,230,-3
100,2020-07-04,Sorocaba,302,8212,2,231,0,0,0,0,7983,299,-2
101,2020-07-05,Sorocaba,152,8364,0,231,0,0,0,0,8133,150,0
102,2020-07-06,Sorocaba,203,8567,16,247,0,0,0,0,8336,203,-16
103,2020-07-07,Sorocaba,361,8928,5,252,0,0,0,0,8681,345,-5
104,2020-07-08,Sorocaba,258,9186,5,257,0,0,0,0,8934,253,-5
105,2020-07-09,Sorocaba,360,9546,5,262,0,0,0,0,9289,355,-5
106,2020-07-10,Sorocaba,958,10504,4,266,0,0,0,0,10242,953,-4
107,2020-07-11,Sorocaba,88,10592,3,269,0,0,0,0,10326,84,-3
108,2020-07-12,Sorocaba,45,10637,0,269,0,0,0,0,10368,42,0
109,2020-07-13,Sorocaba,83,10720,14,283,0,0,0,0,10451,83,-14
110,2020-07-14,Sorocaba,234,10954,4,287,0,0,0,0,10671,220,-4
111,2020-07-15,Sorocaba,128,11082,6,293,0,0,0,0,10795,124,-6
112,2020-07-16,Sorocaba,178,11260,8,301,0,0,0,0,10967,172,-8
113,2020-07-17,Sorocaba,267,11527,4,305,0,0,0,0,11226,259,-4
114,2020-07-18,Sorocaba,264,11791,2,307,0,0,0,0,11486,260,-2
115,2020-07-19,Sorocaba,44,11835,2,309,0,0,0,0,11528,42,-2
116,2020-07-20,Sorocaba,322,12157,9,318,0,0,0,0,11848,320,-9
117,2020-07-21,Sorocaba,590,12747,6,324,0,0,0,0,12429,581,-6
118,2020-07-22,Sorocaba,272,13019,13,337,0,0,0,0,12695,266,-13
119,2020-07-23,Sorocaba,273,13292,14,351,0,0,0,0,12955,260,-14
120,2020-07-24,Sorocaba,264,13556,8,359,0,0,0,0,13205,250,-8
121,2020-07-25,Sorocaba,140,13696,2,361,0,0,0,0,13337,132,-2
122,2020-07-26,Sorocaba,38,13734,3,364,0,0,0,0,13373,36,-3
123,2020-07-27,Sorocaba,186,13920,12,376,0,0,0,0,13556,183,-12
124,2020-07-28,Sorocaba,246,14166,3,379,0,0,0,0,13790,234,-3
125,2020-07-29,Sorocaba,374,14540,7,386,0,0,0,0,14161,371,-7
126,2020-07-30,Sorocaba,329,14869,13,399,0,0,0,0,14483,322,-13
127,2020-07-31,Sorocaba,313,15182,4,403,0,0,0,0,14783,300,-4
128,2020-08-01,Sorocaba,131,15313,5,408,0,0,0,0,14910,127,-5
129,2020-08-02,Sorocaba,54,15367,1,409,0,0,0,0,14959,49,-1
130,2020-08-03,Sorocaba,221,15588,4,413,0,0,0,0,15179,220,-4
131,2020-08-04,Sorocaba,512,16100,7,420,0,0,0,0,15687,508,-7
132,2020-08-05,Sorocaba,352,16452,7,427,0,0,0,0,16032,345,-7
133,2020-08-06,Sorocaba,230,16682,5,432,0,0,0,0,16255,223,-5
134,2020-08-07,Sorocaba,268,16950,11,443,0,0,0,0,16518,263,-11
135,2020-08-08,Sorocaba,310,17260,4,447,0,0,0,0,16817,299,-4
136,2020-08-09,Sorocaba,7,17267,0,447,0,0,0,0,16820,3,0
137,2020-08-10,Sorocaba,175,17442,10,457,0,0,0,0,16995,175,-10
138,2020-08-11,Sorocaba,362,17804,2,459,0,0,0,0,17347,352,-2
139,2020-08-12,Sorocaba,396,18200,3,462,0,0,0,0,17741,394,-3
140,2020-08-13,Sorocaba,205,18405,5,467,0,0,0,0,17943,202,-5
141,2020-08-14,Sorocaba,346,18751,8,475,0,0,0,0,18284,341,-8
142,2020-08-15,Sorocaba,89,18840,0,475,0,0,0,0,18365,81,0
143,2020-08-16,Sorocaba,154,18994,5,480,0,0,0,0,18519,154,-5
144,2020-08-17,Sorocaba,216,19210,16,496,0,0,0,0,18730,211,-16
145,2020-08-18,Sorocaba,222,19432,11,507,0,0,0,0,18936,206,-11
146,2020-08-19,Sorocaba,185,19617,0,507,0,0,0,0,19110,174,0
147,2020-08-20,Sorocaba,273,19890,4,511,0,0,0,0,19383,273,-4
148,2020-08-21,Sorocaba,212,20102,5,516,0,0,0,0,19591,208,-5
149,2020-08-22,Sorocaba,201,20303,6,522,0,0,0,0,19787,196,-6
150,2020-08-23,Sorocaba,103,20406,1,523,0,0,0,0,19884,97,-1
151,2020-08-24,Sorocaba,111,20517,6,529,0,0,0,0,19994,110,-6
152,2020-08-25,Sorocaba,428,20945,7,536,0,0,0,0,20416,422,-7
153,2020-08-26,Sorocaba,302,21247,7,543,0,0,0,0,20711,295,-7
154,2020-08-27,Sorocaba,177,21424,4,547,0,0,0,0,20881,170,-4
155,2020-08-28,Sorocaba,218,21642,2,549,0,0,0,0,21095,214,-2
156,2020-08-29,Sorocaba,52,21694,4,553,0,0,0,0,21145,50,-4
157,2020-08-30,Sorocaba,94,21788,4,557,0,0,0,0,21235,90,-4
158,2020-08-31,Sorocaba,254,22042,8,565,0,0,0,0,21485,250,-8
159,2020-09-01,Sorocaba,255,22297,3,568,0,0,0,0,21732,247,-3
160,2020-09-02,Sorocaba,321,22618,2,570,0,0,0,0,22050,318,-2
161,2020-09-03,Sorocaba,216,22834,0,570,0,0,0,0,22264,214,0
162,2020-09-04,Sorocaba,189,23023,2,572,0,0,0,0,22453,189,-2
163,2020-09-05,Sorocaba,93,23116,1,573,0,0,0,0,22544,91,-1
164,2020-09-06,Sorocaba,50,23166,1,574,0,0,0,0,22593,49,-1
165,2020-09-07,Sorocaba,18,23184,2,576,0,0,0,0,22610,17,-2
166,2020-09-08,Sorocaba,117,23301,8,584,0,0,0,0,22725,115,-8
167,2020-09-09,Sorocaba,244,23545,4,588,0,0,0,0,22961,236,-4
168,2020-09-10,Sorocaba,246,23791,5,593,0,0,0,0,23203,242,-5
169,2020-09-11,Sorocaba,246,24037,5,598,0,0,0,0,23444,241,-5
170,2020-09-12,Sorocaba,44,24081,1,599,0,0,0,0,23483,39,-1
171,2020-09-13,Sorocaba,27,24108,1,600,0,0,0,0,23509,26,-1
172,2020-09-14,Sorocaba,168,24276,4,604,0,0,0,0,23676,167,-4
173,2020-09-15,Sorocaba,194,24470,6,610,0,0,0,0,23866,190,-6
174,2020-09-16,Sorocaba,182,24652,2,612,0,0,0,0,24042,176,-2
175,2020-09-17,Sorocaba,214,24866,1,613,0,0,0,0,24254,212,-1
176,2020-09-18,Sorocaba,179,25045,3,616,0,0,0,0,24432,178,-3
177,2020-09-19,Sorocaba,136,25181,0,616,0,0,0,0,24565,133,0
178,2020-09-20,Sorocaba,97,25278,2,618,0,0,0,0,24662,97,-2
179,2020-09-21,Sorocaba,227,25505,5,623,0,0,0,0,24887,225,-5
180,2020-09-22,Sorocaba,225,25730,3,626,0,0,0,0,25107,220,-3
181,2020-09-23,Sorocaba,136,25866,1,627,0,0,0,0,25240,133,-1
182,2020-09-24,Sorocaba,144,26010,3,630,0,0,0,0,25383,143,-3
183,2020-09-25,Sorocaba,122,26132,3,633,0,0,0,0,25502,119,-3
184,2020-09-26,Sorocaba,61,26193,1,634,0,0,0,0,25560,58,-1
185,2020-09-27,Sorocaba,32,26225,2,636,0,0,0,0,25591,31,-2
186,2020-09-28,Sorocaba,184,26409,5,641,0,0,0,0,25773,182,-5
187,2020-09-29,Sorocaba,174,26583,1,642,0,0,0,0,25942,169,-1
188,2020-09-30,Sorocaba,163,26746,3,645,0,0,0,0,26104,162,-3
189,2020-10-01,Sorocaba,165,26911,4,649,0,0,0,0,26266,162,-4
190,2020-10-02,Sorocaba,126,27037,3,652,0,0,0,0,26388,122,-3
191,2020-10-03,Sorocaba,106,27143,0,652,0,0,0,0,26491,103,0
192,2020-10-04,Sorocaba,65,27208,1,653,0,0,0,0,26556,65,-1
193,2020-10-05,Sorocaba,78,27286,3,656,0,0,0,0,26633,77,-3
194,2020-10-06,Sorocaba,243,27529,6,662,0,0,0,0,26873,240,-6
195,2020-10-07,Sorocaba,104,27633,2,664,0,0,0,0,26971,98,-2
196,2020-10-08,Sorocaba,195,27828,1,665,0,0,0,0,27164,193,-1
197,2020-10-09,Sorocaba,153,27981,0,665,0,0,0,0,27316,152,0
198,2020-10-10,Sorocaba,87,28068,0,665,0,0,0,0,27403,87,0
199,2020-10-11,Sorocaba,29,28097,1,666,0,0,0,0,27432,29,-1
200,2020-10-12,Sorocaba,7,28104,0,666,0,0,0,0,27438,6,0
201,2020-10-13,Sorocaba,131,28235,5,671,0,0,0,0,27569,131,-5
202,2020-10-14,Sorocaba,380,28615,2,673,0,0,0,0,27944,375,-2
203,2020-10-15,Sorocaba,222,28837,3,676,0,0,0,0,28164,220,-3
204,2020-10-16,Sorocaba,123,28960,5,681,0,0,0,0,28284,120,-5
205,2020-10-17,Sorocaba,74,29034,2,683,0,0,0,0,28353,69,-2
206,2020-10-18,Sorocaba,56,29090,0,683,0,0,0,0,28407,54,0
207,2020-10-19,Sorocaba,82,29172,5,688,0,0,0,0,28489,82,-5
208,2020-10-20,Sorocaba,132,29304,3,691,0,0,0,0,28616,127,-3
209,2020-10-21,Sorocaba,80,29384,1,692,0,0,0,0,28693,77,-1
210,2020-10-22,Sorocaba,176,29560,3,695,0,0,0,0,28868,175,-3
211,2020-10-23,Sorocaba,81,29641,2,697,0,0,0,0,28946,78,-2
212,2020-10-24,Sorocaba,48,29689,1,698,0,0,0,0,28992,46,-1
213,2020-10-25,Sorocaba,48,29737,1,699,0,0,0,0,29039,47,-1
214,2020-10-26,Sorocaba,171,29908,4,703,0,0,0,0,29209,170,-4
215,2020-10-27,Sorocaba,159,30067,2,705,0,0,0,0,29364,155,-2
216,2020-10-28,Sorocaba,154,30221,0,705,0,0,0,0,29516,152,0
217,2020-10-29,Sorocaba,130,30351,3,708,0,0,0,0,29646,130,-3
218,2020-10-30,Sorocaba,62,30413,3,711,0,0,0,0,29705,59,-3
219,2020-10-31,Sorocaba,38,30451,1,712,0,0,0,0,29740,35,-1
220,2020-11-01,Sorocaba,14,30465,0,712,0,0,0,0,29753,13,0
221,2020-11-02,Sorocaba,15,30480,0,712,0,0,0,0,29768,15,0
222,2020-11-03,Sorocaba,156,30636,6,718,0,0,0,0,29924,156,-6
223,2020-11-04,Sorocaba,49,30685,2,720,0,0,0,0,29967,43,-2
224,2020-11-05,Sorocaba,289,30974,7,727,0,0,0,0,30254,287,-7
225,2020-11-06,Sorocaba,156,31130,3,730,0,0,0,0,30403,149,-3
226,2020-11-07,Sorocaba,52,31182,0,730,0,0,0,0,30452,49,0
227,2020-11-08,Sorocaba,23,31205,1,731,0,0,0,0,30475,23,-1
228,2020-11-09,Sorocaba,290,31495,6,737,0,0,0,0,30764,289,-6
229,2020-11-10,Sorocaba,200,31695,2,739,0,0,0,0,30958,194,-2
230,2020-11-11,Sorocaba,115,31810,4,743,0,0,0,0,31071,113,-4
231,2020-11-12,Sorocaba,156,31966,4,747,0,0,0,0,31223,152,-4
232,2020-11-13,Sorocaba,148,32114,4,751,0,0,0,0,31367,144,-4
233,2020-11-14,Sorocaba,82,32196,1,752,0,0,0,0,31445,78,-1
234,2020-11-15,Sorocaba,23,32219,0,752,0,0,0,0,31467,22,0
235,2020-11-16,Sorocaba,159,32378,6,758,0,0,0,0,31626,159,-6
236,2020-11-17,Sorocaba,236,32614,7,765,0,0,0,0,31856,230,-7
237,2020-11-18,Sorocaba,299,32913,2,767,0,0,0,0,32148,292,-2
238,2020-11-19,Sorocaba,346,33259,3,770,0,0,0,0,32492,344,-3
239,2020-11-20,Sorocaba,187,33446,1,771,0,0,0,0,32676,184,-1
240,2020-11-21,Sorocaba,83,33529,0,771,0,0,0,0,32758,82,0
241,2020-11-22,Sorocaba,22,33551,1,772,0,0,0,0,32780,22,-1
242,2020-11-23,Sorocaba,203,33754,14,786,0,0,0,0,32982,202,-14
