,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,São José do Rio Preto,0,9,0,0,0,0,0,0,0,0,9
1,2020-03-27,São José do Rio Preto,2,11,0,0,0,0,0,0,0,0,11
2,2020-03-28,São José do Rio Preto,1,12,0,0,0,0,0,0,0,0,12
3,2020-03-29,São José do Rio Preto,0,13,0,0,0,0,0,0,0,0,13
4,2020-03-30,São José do Rio Preto,4,17,0,0,0,0,0,0,0,0,17
5,2020-03-31,São José do Rio Preto,1,18,0,0,0,0,0,0,0,0,18
6,2020-04-01,São José do Rio Preto,3,22,0,0,0,0,0,0,0,0,22
7,2020-04-02,São José do Rio Preto,1,23,0,0,0,0,0,0,0,0,23
8,2020-04-03,São José do Rio Preto,5,28,0,0,0,0,0,0,0,0,28
9,2020-04-04,São José do Rio Preto,9,37,1,1,0,0,0,0,0,0,36
10,2020-04-05,São José do Rio Preto,1,38,1,2,0,0,0,0,0,0,36
11,2020-04-06,São José do Rio Preto,0,38,1,3,0,0,0,0,0,0,35
12,2020-04-07,São José do Rio Preto,5,43,0,3,0,0,0,0,0,0,40
13,2020-04-08,São José do Rio Preto,4,47,1,4,0,0,0,0,0,0,43
14,2020-04-09,São José do Rio Preto,8,55,0,4,0,0,0,0,9,9,42
15,2020-04-10,São José do Rio Preto,7,62,0,4,0,0,0,0,11,2,47
16,2020-04-11,São José do Rio Preto,3,65,1,5,0,0,0,0,12,1,48
17,2020-04-12,São José do Rio Preto,0,65,0,5,0,0,0,0,13,1,47
18,2020-04-13,São José do Rio Preto,2,67,0,5,0,0,0,0,17,4,45
19,2020-04-14,São José do Rio Preto,2,69,0,5,0,0,0,0,18,1,46
20,2020-04-15,São José do Rio Preto,2,71,0,5,0,0,0,0,22,4,44
21,2020-04-16,São José do Rio Preto,7,78,1,6,0,0,0,0,23,1,49
22,2020-04-17,São José do Rio Preto,4,82,1,7,0,0,0,0,28,5,47
23,2020-04-18,São José do Rio Preto,3,85,0,7,0,0,0,0,36,8,42
24,2020-04-19,São José do Rio Preto,1,86,4,11,0,0,0,0,36,0,39
25,2020-04-20,São José do Rio Preto,0,86,0,11,0,0,0,0,35,-1,40
26,2020-04-21,São José do Rio Preto,0,86,0,11,0,0,0,0,40,5,35
27,2020-04-22,São José do Rio Preto,2,88,0,11,0,0,0,0,43,3,34
28,2020-04-23,São José do Rio Preto,3,91,0,11,0,0,0,0,51,8,29
29,2020-04-24,São José do Rio Preto,6,97,0,11,0,0,0,0,58,7,28
30,2020-04-25,São José do Rio Preto,4,101,0,11,0,0,0,0,60,2,30
31,2020-04-26,São José do Rio Preto,0,101,0,11,0,0,0,0,60,0,30
32,2020-04-27,São José do Rio Preto,3,104,0,11,0,0,0,0,62,2,31
33,2020-04-28,São José do Rio Preto,4,108,0,11,0,0,0,0,64,2,33
34,2020-04-29,São José do Rio Preto,30,138,0,11,0,0,0,0,66,2,61
35,2020-04-30,São José do Rio Preto,10,148,0,11,0,0,0,0,72,6,65
36,2020-05-01,São José do Rio Preto,0,148,0,11,0,0,0,0,75,3,62
37,2020-05-02,São José do Rio Preto,17,165,0,11,0,0,0,0,78,3,76
38,2020-05-03,São José do Rio Preto,0,165,0,11,0,0,0,0,75,-3,79
39,2020-05-04,São José do Rio Preto,20,185,1,12,0,0,0,0,75,0,98
40,2020-05-05,São José do Rio Preto,20,205,1,13,0,0,0,0,75,0,117
41,2020-05-06,São José do Rio Preto,29,234,0,13,0,0,0,0,77,2,144
42,2020-05-07,São José do Rio Preto,29,263,0,13,0,0,0,0,80,3,170
43,2020-05-08,São José do Rio Preto,36,299,0,13,0,0,0,0,86,6,200
44,2020-05-09,São José do Rio Preto,2,301,0,13,0,0,0,0,90,4,198
45,2020-05-10,São José do Rio Preto,0,301,1,14,0,0,0,0,90,0,197
46,2020-05-11,São José do Rio Preto,77,378,1,15,0,0,0,0,93,3,270
47,2020-05-12,São José do Rio Preto,18,396,2,17,0,0,0,0,97,4,282
48,2020-05-13,São José do Rio Preto,43,439,0,17,0,0,0,0,127,30,295
49,2020-05-14,São José do Rio Preto,20,459,1,18,0,0,0,0,137,10,304
50,2020-05-15,São José do Rio Preto,47,506,0,18,0,0,0,0,137,0,351
51,2020-05-16,São José do Rio Preto,19,525,4,22,0,0,0,0,154,17,349
52,2020-05-17,São José do Rio Preto,0,525,0,22,0,0,0,0,154,0,349
53,2020-05-18,São José do Rio Preto,39,564,3,25,0,0,0,0,173,19,366
54,2020-05-19,São José do Rio Preto,11,575,1,26,0,0,0,0,192,19,357
55,2020-05-20,São José do Rio Preto,34,609,1,27,0,0,0,0,221,29,361
56,2020-05-21,São José do Rio Preto,26,635,1,28,0,0,0,0,250,29,357
57,2020-05-22,São José do Rio Preto,15,650,0,28,0,0,0,0,286,36,336
58,2020-05-23,São José do Rio Preto,21,671,0,28,0,0,0,0,288,2,355
59,2020-05-24,São José do Rio Preto,0,671,0,28,0,0,0,0,287,-1,356
60,2020-05-25,São José do Rio Preto,0,671,0,28,0,0,0,0,363,76,280
61,2020-05-26,São José do Rio Preto,40,711,2,30,0,0,0,0,379,16,302
62,2020-05-27,São José do Rio Preto,27,738,1,31,0,0,0,0,422,43,285
63,2020-05-28,São José do Rio Preto,21,759,2,33,0,0,0,0,441,19,285
64,2020-05-29,São José do Rio Preto,40,799,2,35,0,0,0,0,488,47,276
65,2020-05-30,São José do Rio Preto,10,809,0,35,0,0,0,0,503,15,271
66,2020-05-31,São José do Rio Preto,3,812,1,36,0,0,0,0,503,0,273
67,2020-06-01,São José do Rio Preto,80,892,0,36,0,0,0,0,539,36,317
68,2020-06-02,São José do Rio Preto,38,930,3,39,0,0,0,0,549,10,342
69,2020-06-03,São José do Rio Preto,50,980,0,39,0,0,0,0,582,33,359
70,2020-06-04,São José do Rio Preto,60,1040,0,39,0,0,0,0,607,25,394
71,2020-06-05,São José do Rio Preto,32,1072,0,39,0,0,0,0,622,15,411
72,2020-06-06,São José do Rio Preto,14,1086,1,40,0,0,0,0,643,21,403
73,2020-06-07,São José do Rio Preto,78,1164,3,43,0,0,0,0,643,0,478
74,2020-06-08,São José do Rio Preto,49,1213,3,46,0,0,0,0,643,0,524
75,2020-06-09,São José do Rio Preto,96,1309,4,50,0,0,0,0,681,38,578
76,2020-06-10,São José do Rio Preto,88,1397,0,50,0,0,0,0,707,26,640
77,2020-06-11,São José do Rio Preto,108,1505,2,52,0,0,0,0,726,19,727
78,2020-06-12,São José do Rio Preto,115,1620,4,56,0,0,0,0,764,38,800
79,2020-06-13,São José do Rio Preto,58,1678,1,57,0,0,0,0,774,10,847
80,2020-06-14,São José do Rio Preto,41,1719,1,58,0,0,0,0,776,2,885
81,2020-06-15,São José do Rio Preto,78,1797,4,62,0,0,0,0,856,80,879
82,2020-06-16,São José do Rio Preto,74,1871,5,67,0,0,0,0,891,35,913
83,2020-06-17,São José do Rio Preto,166,2037,3,70,0,0,0,0,941,50,1026
84,2020-06-18,São José do Rio Preto,97,2134,4,74,0,0,0,0,1001,60,1059
85,2020-06-19,São José do Rio Preto,97,2231,5,79,0,0,0,0,1033,32,1119
86,2020-06-20,São José do Rio Preto,175,2406,1,80,0,0,0,0,1046,13,1280
87,2020-06-21,São José do Rio Preto,77,2483,2,82,0,0,0,0,1121,75,1280
88,2020-06-22,São José do Rio Preto,59,2542,7,89,0,0,0,0,1167,46,1286
89,2020-06-23,São José do Rio Preto,86,2628,2,91,0,0,0,0,1259,92,1278
90,2020-06-24,São José do Rio Preto,192,2820,0,91,0,0,0,0,1347,88,1382
91,2020-06-25,São José do Rio Preto,62,2882,1,92,0,0,0,0,1453,106,1337
92,2020-06-26,São José do Rio Preto,303,3185,12,104,0,0,0,0,1564,111,1517
93,2020-06-27,São José do Rio Preto,178,3363,2,106,0,0,0,0,1621,57,1636
94,2020-06-28,São José do Rio Preto,145,3508,5,111,0,0,0,0,1661,40,1736
95,2020-06-29,São José do Rio Preto,154,3662,4,115,0,0,0,0,1735,74,1812
96,2020-06-30,São José do Rio Preto,71,3733,4,119,0,0,0,0,1804,69,1810
97,2020-07-01,São José do Rio Preto,264,3997,5,124,0,0,0,0,1967,163,1906
98,2020-07-02,São José do Rio Preto,116,4113,2,126,0,0,0,0,2060,93,1927
99,2020-07-03,São José do Rio Preto,194,4307,3,129,0,0,0,0,2152,92,2026
100,2020-07-04,São José do Rio Preto,250,4557,9,138,0,0,0,0,2326,174,2093
101,2020-07-05,São José do Rio Preto,102,4659,3,141,0,0,0,0,2401,75,2117
102,2020-07-06,São José do Rio Preto,164,4823,9,150,0,0,0,0,2453,52,2220
