,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,São Paulo,0,565,0,50,0,0,0,0,0,0,515
1,2020-03-27,São Paulo,0,565,0,50,0,0,0,0,0,0,515
2,2020-03-28,São Paulo,0,565,13,63,0,0,0,0,0,0,502
3,2020-03-29,São Paulo,0,565,13,76,0,0,0,0,0,0,489
4,2020-03-30,São Paulo,28,593,24,100,0,0,0,0,0,0,493
5,2020-03-31,São Paulo,845,1438,18,118,0,0,0,0,0,0,1320
6,2020-04-01,São Paulo,65,1503,23,141,0,0,0,0,0,0,1362
7,2020-04-02,São Paulo,17,1520,24,165,0,0,0,0,0,0,1355
8,2020-04-03,São Paulo,801,2321,48,213,0,0,0,0,0,0,2108
9,2020-04-04,São Paulo,408,2729,0,213,0,0,0,0,0,0,2516
10,2020-04-05,São Paulo,883,3612,6,219,0,0,0,0,0,0,3393
11,2020-04-06,São Paulo,142,3754,25,244,0,0,0,0,0,0,3510
12,2020-04-07,São Paulo,749,4503,53,297,0,0,0,0,0,0,4206
13,2020-04-08,São Paulo,634,5137,44,341,0,0,0,0,0,0,4796
14,2020-04-09,São Paulo,695,5832,45,386,0,0,0,0,5491,5491,-45
15,2020-04-10,São Paulo,547,6379,26,412,0,0,0,0,5993,502,-26
16,2020-04-11,São Paulo,206,6585,10,422,0,0,0,0,6173,180,-10
17,2020-04-12,São Paulo,220,6805,23,445,0,0,0,0,6383,210,-23
18,2020-04-13,São Paulo,26,6831,11,456,0,0,0,0,6386,3,-11
19,2020-04-14,São Paulo,162,6993,64,520,0,0,0,0,6537,151,-64
20,2020-04-15,São Paulo,1031,8024,43,563,0,0,0,0,7504,967,-43
21,2020-04-16,São Paulo,865,8889,47,610,0,0,0,0,8326,822,-47
22,2020-04-17,São Paulo,468,9357,133,743,0,0,0,0,8747,421,-133
23,2020-04-18,São Paulo,770,10127,64,807,0,0,0,0,9384,637,-64
24,2020-04-19,São Paulo,261,10388,40,847,0,0,0,0,9581,197,-40
25,2020-04-20,São Paulo,236,10624,49,896,0,0,0,0,9777,196,-49
26,2020-04-21,São Paulo,641,11265,23,919,0,0,0,0,10369,592,-23
27,2020-04-22,São Paulo,118,11383,0,919,0,0,0,0,10464,95,0
28,2020-04-23,São Paulo,0,11383,205,1124,0,0,0,0,10464,0,-205
29,2020-04-24,São Paulo,819,12202,0,1124,0,0,0,0,11078,614,0
30,2020-04-25,São Paulo,1303,13505,29,1153,0,0,0,0,12381,1303,-29
31,2020-04-26,São Paulo,469,13974,57,1210,0,0,0,0,12821,440,-57
32,2020-04-27,São Paulo,130,14104,62,1272,0,0,0,0,12894,73,-62
33,2020-04-28,São Paulo,1109,15213,65,1337,0,0,0,0,13941,1047,-65
34,2020-04-29,São Paulo,712,15925,81,1418,0,0,0,0,14588,647,-81
35,2020-04-30,São Paulo,2513,18438,96,1514,0,0,0,0,17020,2432,-96
36,2020-05-01,São Paulo,1241,19679,151,1665,0,0,0,0,18165,1145,-151
37,2020-05-02,São Paulo,218,19897,48,1713,0,0,0,0,18232,67,-48
38,2020-05-03,São Paulo,567,20464,31,1744,0,0,0,0,18751,519,-31
39,2020-05-04,São Paulo,384,20848,31,1775,0,0,0,0,19104,353,-31
40,2020-05-05,São Paulo,1401,22249,57,1832,0,0,0,0,20474,1370,-57
41,2020-05-06,São Paulo,1558,23807,96,1928,0,0,0,0,21975,1501,-96
42,2020-05-07,São Paulo,1236,25043,78,2006,0,0,0,0,23115,1140,-78
43,2020-05-08,São Paulo,1230,26273,100,2106,0,0,0,0,24267,1152,-100
44,2020-05-09,São Paulo,1141,27414,81,2187,0,0,0,0,25308,1041,-81
45,2020-05-10,São Paulo,613,28027,81,2268,0,0,0,0,25840,532,-81
46,2020-05-11,São Paulo,62,28089,37,2305,0,0,0,0,25821,-19,-37
47,2020-05-12,São Paulo,2368,30457,125,2430,0,0,0,0,28152,2331,-125
48,2020-05-13,São Paulo,1915,32372,112,2542,0,0,0,0,29942,1790,-112
49,2020-05-14,São Paulo,1469,33841,60,2602,0,0,0,0,31299,1357,-60
50,2020-05-15,São Paulo,3265,37106,79,2681,0,0,0,0,34504,3205,-79
51,2020-05-16,São Paulo,1373,38479,85,2766,0,0,0,0,35798,1294,-85
52,2020-05-17,São Paulo,126,38605,66,2832,0,0,0,0,35839,41,-66
53,2020-05-18,São Paulo,558,39163,13,2845,0,0,0,0,36331,492,-13
54,2020-05-19,São Paulo,1587,40750,95,2940,0,0,0,0,37905,1574,-95
55,2020-05-20,São Paulo,1667,42417,147,3087,0,0,0,0,39477,1572,-147
56,2020-05-21,São Paulo,2099,44516,99,3186,0,0,0,0,41429,1952,-99
57,2020-05-22,São Paulo,1699,46215,69,3255,0,0,0,0,43029,1600,-69
58,2020-05-23,São Paulo,2313,48528,61,3316,0,0,0,0,45273,2244,-61
59,2020-05-24,São Paulo,778,49306,35,3351,0,0,0,0,45990,717,-35
60,2020-05-25,São Paulo,290,49596,39,3390,0,0,0,0,46245,255,-39
61,2020-05-26,São Paulo,2256,51852,31,3421,0,0,0,0,48462,2217,-31
62,2020-05-27,São Paulo,3096,54948,198,3619,0,0,0,0,51527,3065,-198
63,2020-05-28,São Paulo,1827,56775,100,3719,0,0,0,0,53156,1629,-100
64,2020-05-29,São Paulo,3094,59869,104,3823,0,0,0,0,56150,2994,-104
65,2020-05-30,São Paulo,3760,63629,329,4152,0,0,0,0,59806,3656,-329
66,2020-05-31,São Paulo,1409,65038,60,4212,0,0,0,0,60886,1080,-60
67,2020-06-01,São Paulo,678,65716,29,4241,0,0,0,0,61504,618,-29
68,2020-06-02,São Paulo,3282,68998,64,4305,0,0,0,0,64757,3253,-64
69,2020-06-03,São Paulo,3173,72171,175,4480,0,0,0,0,67866,3109,-175
70,2020-06-04,São Paulo,1042,73213,88,4568,0,0,0,0,68733,867,-88
71,2020-06-05,São Paulo,4555,77768,120,4688,0,0,0,0,73200,4467,-120
72,2020-06-06,São Paulo,2112,79880,82,4770,0,0,0,0,75192,1992,-82
73,2020-06-07,São Paulo,1229,81109,43,4813,0,0,0,0,76339,1147,-43
74,2020-06-08,São Paulo,1070,82179,25,4838,0,0,0,0,77366,1027,-25
75,2020-06-09,São Paulo,2683,84862,107,4945,0,0,0,0,80024,2658,-107
76,2020-06-10,São Paulo,1521,86383,178,5123,0,0,0,0,81438,1414,-178
77,2020-06-11,São Paulo,2766,89149,83,5206,0,0,0,0,84026,2588,-83
78,2020-06-12,São Paulo,3021,92170,46,5252,0,0,0,0,86964,2938,-46
79,2020-06-13,São Paulo,2672,94842,114,5366,0,0,0,0,89590,2626,-114
80,2020-06-14,São Paulo,2403,97245,62,5428,0,0,0,0,91879,2289,-62
81,2020-06-15,São Paulo,3382,100627,46,5474,0,0,0,0,95199,3320,-46
82,2020-06-16,São Paulo,5031,105658,298,5772,0,0,0,0,100184,4985,-298
83,2020-06-17,São Paulo,3534,109192,170,5942,0,0,0,0,103420,3236,-170
84,2020-06-18,São Paulo,0,109192,205,6147,0,0,0,0,103250,-170,-205
85,2020-06-19,São Paulo,0,109192,68,6215,0,0,0,0,103045,-205,-68
86,2020-06-20,São Paulo,8576,117768,103,6318,0,0,0,0,111553,8508,-103
87,2020-06-21,São Paulo,940,118708,65,6383,0,0,0,0,112390,837,-65
88,2020-06-22,São Paulo,0,118708,71,6454,0,0,0,0,112325,-65,-71
89,2020-06-23,São Paulo,641,119349,153,6607,0,0,0,0,112895,570,-153
90,2020-06-24,São Paulo,18990,138339,115,6722,0,0,0,0,131732,18837,-115
91,2020-06-25,São Paulo,4411,142750,70,6792,0,0,0,0,136028,4296,-70
92,2020-06-26,São Paulo,4366,147116,74,6866,0,0,0,0,140324,4296,-74
93,2020-06-27,São Paulo,420,147536,54,6920,0,0,0,0,140670,346,-54
94,2020-06-28,São Paulo,3221,150757,25,6945,0,0,0,0,143837,3167,-25
95,2020-06-29,São Paulo,153,150910,37,6982,0,0,0,0,143965,128,-37
96,2020-06-30,São Paulo,504,151414,141,7123,0,0,0,0,144432,467,-141
97,2020-07-01,São Paulo,8923,160337,204,7327,0,0,0,0,153214,8782,-204
98,2020-07-02,São Paulo,2849,163186,91,7418,0,0,0,0,155859,2645,-91
99,2020-07-03,São Paulo,2380,165566,67,7485,0,0,0,0,158148,2289,-67
100,2020-07-04,São Paulo,2822,168388,43,7528,0,0,0,0,160903,2755,-43
101,2020-07-05,São Paulo,1954,170342,46,7574,0,0,0,0,162814,1911,-46
102,2020-07-06,São Paulo,827,171169,34,7608,0,0,0,0,163595,781,-34
103,2020-07-07,São Paulo,2411,173580,131,7739,0,0,0,0,165972,2377,-131
104,2020-07-08,São Paulo,2723,176303,150,7889,0,0,0,0,168564,2592,-150
105,2020-07-09,São Paulo,1815,178118,98,7987,0,0,0,0,170229,1665,-98
106,2020-07-10,São Paulo,313,178431,85,8072,0,0,0,0,170444,215,-85
107,2020-07-11,São Paulo,350,178781,74,8146,0,0,0,0,170709,265,-74
108,2020-07-12,São Paulo,118,178899,42,8188,0,0,0,0,170753,44,-42
109,2020-07-13,São Paulo,98,178997,30,8218,0,0,0,0,170809,56,-30
110,2020-07-14,São Paulo,404,179401,225,8443,0,0,0,0,171183,374,-225
111,2020-07-15,São Paulo,449,179850,131,8574,0,0,0,0,171407,224,-131
112,2020-07-16,São Paulo,600,180450,134,8708,0,0,0,0,171876,469,-134
113,2020-07-17,São Paulo,306,180756,51,8759,0,0,0,0,172048,172,-51
114,2020-07-18,São Paulo,319,181075,0,8759,0,0,0,0,172316,268,0
115,2020-07-19,São Paulo,83,181158,0,8759,0,0,0,0,172399,83,0
116,2020-07-20,São Paulo,120,181278,0,8759,0,0,0,0,172519,120,0
117,2020-07-21,São Paulo,491,181769,277,9036,0,0,0,0,173010,491,-277
118,2020-07-22,São Paulo,18601,200370,0,9036,0,0,0,0,191334,18324,0
119,2020-07-23,São Paulo,2201,202571,220,9256,0,0,0,0,193535,2201,-220
120,2020-07-24,São Paulo,737,203308,77,9333,0,0,0,0,194052,517,-77
121,2020-07-25,São Paulo,4436,207744,70,9403,0,0,0,0,198411,4359,-70
122,2020-07-26,São Paulo,0,207744,0,9403,0,0,0,0,198341,-70,0
123,2020-07-27,São Paulo,189,207933,0,9403,0,0,0,0,198530,189,0
124,2020-07-28,São Paulo,5503,213436,137,9540,0,0,0,0,204033,5503,-137
125,2020-07-29,São Paulo,6858,220294,121,9661,0,0,0,0,210754,6721,-121
126,2020-07-30,São Paulo,3277,223571,49,9710,0,0,0,0,213910,3156,-49
127,2020-07-31,São Paulo,2016,225587,42,9752,0,0,0,0,215877,1967,-42
128,2020-08-01,São Paulo,4728,230315,82,9834,0,0,0,0,220563,4686,-82
129,2020-08-02,São Paulo,60,230375,29,9863,0,0,0,0,220541,-22,-29
130,2020-08-03,São Paulo,37,230412,20,9883,0,0,0,0,220549,8,-20
131,2020-08-04,São Paulo,3051,233463,59,9942,0,0,0,0,223580,3031,-59
132,2020-08-05,São Paulo,2715,236178,113,10055,0,0,0,0,226236,2656,-113
133,2020-08-06,São Paulo,6592,242770,104,10159,0,0,0,0,232715,6479,-104
134,2020-08-07,São Paulo,1561,244331,87,10246,0,0,0,0,234172,1457,-87
135,2020-08-08,São Paulo,2319,246650,57,10303,0,0,0,0,236404,2232,-57
136,2020-08-09,São Paulo,80,246730,20,10323,0,0,0,0,236427,23,-20
137,2020-08-10,São Paulo,57,246787,16,10339,0,0,0,0,236464,37,-16
138,2020-08-11,São Paulo,2963,249750,134,10473,0,0,0,0,239411,2947,-134
139,2020-08-12,São Paulo,8731,258481,140,10613,0,0,0,0,248008,8597,-140
140,2020-08-13,São Paulo,8758,267239,62,10675,0,0,0,0,256626,8618,-62
141,2020-08-14,São Paulo,2595,269834,83,10758,0,0,0,0,259159,2533,-83
142,2020-08-15,São Paulo,1598,271432,51,10809,0,0,0,0,260674,1515,-51
143,2020-08-16,São Paulo,638,272070,17,10826,0,0,0,0,261261,587,-17
144,2020-08-17,São Paulo,363,272433,34,10860,0,0,0,0,261607,346,-34
145,2020-08-18,São Paulo,814,273247,35,10895,0,0,0,0,262387,780,-35
146,2020-08-19,São Paulo,2287,275534,174,11069,0,0,0,0,264639,2252,-174
147,2020-08-20,São Paulo,1916,277450,146,11215,0,0,0,0,266381,1742,-146
148,2020-08-21,São Paulo,1120,278570,214,11429,0,0,0,0,267355,974,-214
149,2020-08-22,São Paulo,4191,282761,2,11431,0,0,0,0,271332,3977,-2
150,2020-08-23,São Paulo,1309,284070,23,11454,0,0,0,0,272639,1307,-23
151,2020-08-24,São Paulo,101,284171,25,11479,0,0,0,0,272717,78,-25
152,2020-08-25,São Paulo,2808,286979,94,11573,0,0,0,0,275500,2783,-94
153,2020-08-26,São Paulo,2085,289064,250,11823,0,0,0,0,277491,1991,-250
154,2020-08-27,São Paulo,2689,291753,110,11933,0,0,0,0,279930,2439,-110
155,2020-08-28,São Paulo,2001,293754,52,11985,0,0,0,0,281821,1891,-52
156,2020-08-29,São Paulo,1226,294980,24,12009,0,0,0,0,282995,1174,-24
157,2020-08-30,São Paulo,270,295250,44,12053,0,0,0,0,283241,246,-44
158,2020-08-31,São Paulo,185,295435,7,12060,0,0,0,0,283382,141,-7
