,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,Taubaté,0,13,0,1,0,0,0,0,0,0,12
1,2020-03-27,Taubaté,3,16,0,1,0,0,0,0,0,0,15
2,2020-03-28,Taubaté,4,20,0,1,0,0,0,0,0,0,19
3,2020-03-29,Taubaté,0,21,0,1,0,0,0,0,0,0,20
4,2020-03-30,Taubaté,15,36,0,1,0,0,0,0,0,0,35
5,2020-03-31,Taubaté,2,38,1,2,0,0,0,0,0,0,36
6,2020-04-01,Taubaté,3,41,0,2,0,0,0,0,0,0,39
7,2020-04-02,Taubaté,14,55,0,2,0,0,0,0,0,0,53
8,2020-04-03,Taubaté,11,67,2,4,0,0,0,0,0,0,63
9,2020-04-04,Taubaté,0,67,0,4,0,0,0,0,0,0,63
10,2020-04-05,Taubaté,0,67,0,4,0,0,0,0,0,0,63
11,2020-04-06,Taubaté,12,79,0,4,0,0,0,0,0,0,75
12,2020-04-07,Taubaté,16,96,2,6,0,0,0,0,0,0,90
13,2020-04-08,Taubaté,6,102,0,6,0,0,0,0,0,0,96
14,2020-04-09,Taubaté,3,105,0,6,0,0,0,0,99,99,0
15,2020-04-10,Taubaté,1,106,0,6,0,0,0,0,100,1,0
16,2020-04-11,Taubaté,9,115,0,6,0,0,0,0,109,9,0
17,2020-04-12,Taubaté,0,115,1,7,0,0,0,0,109,0,-1
18,2020-04-13,Taubaté,16,131,1,8,0,0,0,0,124,15,-1
19,2020-04-14,Taubaté,10,141,0,8,0,0,0,0,133,9,0
20,2020-04-15,Taubaté,9,150,0,8,0,0,0,0,142,9,0
21,2020-04-16,Taubaté,31,181,0,8,0,0,0,0,173,31,0
